Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
Interdisciplinary Materials,2767-4401,2767-441X,"CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);PHYSICS, APPLIED(ESCI)",31.6,Q1,9/460
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)",31.1,Q1,1/420
LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,INFECTIOUS DISEASES(SCIE),31,Q1,1/137
Cell Metabolism,1550-4131,1932-7420,CELL BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE),30.9,Q1,3/191
Energy & Environmental Science,1754-5692,1754-5706,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)",30.8,Q1,2/374
Annual Review of Condensed Matter Physics,1947-5454,1947-5462,"PHYSICS, CONDENSED MATTER(SCIE)",30.7,Q1,2/79
Annual Review of Fluid Mechanics,0066-4189,1545-4479,"MECHANICS(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE)",30.2,Q1,1/171
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY(SCIE)",29.5,Q1,3/114
Annual Review of Psychology,0066-4308,1545-2085,"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",29.4,Q1,1/221
NATURE GENETICS,1061-4036,1546-1718,GENETICS & HEREDITY(SCIE),29,Q1,2/191
Physiological Reviews,0031-9333,1522-1210,PHYSIOLOGY(SCIE),28.7,Q1,1/87
Nature Cancer,N/A,2662-1347,ONCOLOGY(SCIE),28.5,Q1,11/326
ACM COMPUTING SURVEYS,0360-0300,1557-7341,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",28,Q1,1/147
NATURE IMMUNOLOGY,1529-2908,1529-2916,IMMUNOLOGY(SCIE),27.6,Q1,3/183
Living Reviews in Solar Physics,2367-3648,1614-4961,ASTRONOMY & ASTROPHYSICS(SCIE),27.6,Q1,2/84
Science Robotics,2470-9476,2470-9476,ROBOTICS(SCIE),27.5,Q1,1/48
Nature Climate Change,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE),27.1,Q1,1/191
Nature Sustainability,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI),27.1,Q1,1/191
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI),27,Q1,1/166
Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,1759-0884,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)",27,Q1,1/67
ADVANCED MATERIALS,0935-9648,1521-4095,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",26.8,Q1,10/460
NEW ASTRONOMY REVIEWS,1387-6473,1872-9630,ASTRONOMY & ASTROPHYSICS(SCIE),26.8,Q1,3/84
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)",26.8,Q1,10/460
NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,NEUROSCIENCES(SCIE),26.7,Q1,1/314
Nature Biomedical Engineering,2157-846X,2157-846X,"ENGINEERING, BIOMEDICAL(SCIE)",26.6,Q1,2/124
ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,1432-0754,ASTRONOMY & ASTROPHYSICS(SCIE),26.5,Q1,4/84
Annual Review of Plant Biology,1543-5008,1545-2123,PLANT SCIENCES(SCIE),26.5,Q1,1/273
Immunity,1074-7613,1097-4180,IMMUNOLOGY(SCIE),26.3,Q1,4/183
PROGRESS IN POLYMER SCIENCE,0079-6700,1873-1619,POLYMER SCIENCE(SCIE),26.1,Q1,1/94
Advanced Energy Materials,1614-6832,1614-6840,"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",26,Q1,5/182
PROCEEDINGS OF THE IEEE,0018-9219,1558-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",25.9,Q1,2/366
CELL RESEARCH,1001-0602,1748-7838,CELL BIOLOGY(SCIE),25.9,Q1,7/204
GUT,0017-5749,1468-3288,GASTROENTEROLOGY & HEPATOLOGY(SCIE),25.8,Q1,4/147
Innovation,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES(ESCI),25.7,Q1,4/135
Foundations and Trends in Machine Learning,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",25.4,Q1,1/204
EUROPEAN UROLOGY,0302-2838,1873-7560,UROLOGY & NEPHROLOGY(SCIE),25.2,Q1,3/133
Lancet Public Health,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",25.2,Q1,3/419
Gastroenterology,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY(SCIE),25.1,Q1,5/147
Advanced Powder Materials,N/A,2772-834X,"CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",24.9,Q1,13/460
Cancer Communications,N/A,2523-3548,ONCOLOGY(SCIE),24.9,Q1,12/326
Lancet Psychiatry,2215-0374,N/A,"PSYCHIATRY(SCIE, SSCI)",24.8,Q1,2/288
FUNGAL DIVERSITY,1560-2745,1878-9129,MYCOLOGY(SCIE),24.8,Q1,1/32
Carbon Energy,N/A,2637-9368,"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",24.2,Q1,14/460
Lancet Digital Health,N/A,2589-7500,"MEDICAL INFORMATICS(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE)",24.1,Q1,1/48
Molecular Plant,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),24.1,Q1,2/273
Nature Water,N/A,2731-6084,ENVIRONMENTAL SCIENCES(ESCI);WATER RESOURCES(ESCI),24.1,Q1,1/131
Nature Machine Intelligence,N/A,2522-5839,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE)",23.9,Q1,1/175
Advances in Optics and Photonics,1943-8206,N/A,OPTICS(SCIE),23.8,Q1,3/125
EnergyChem,2589-7780,2589-7780,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);ENERGY & FUELS(ESCI);ENGINEERING, CHEMICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",23.8,Q1,3/175
COORDINATION CHEMISTRY REVIEWS,0010-8545,1873-3840,"CHEMISTRY, INORGANIC & NUCLEAR(SCIE)",23.5,Q1,1/42
Light-Science & Applications,2095-5545,2047-7538,OPTICS(SCIE),23.4,Q1,4/125
JAMA Internal Medicine,2168-6106,2168-6114,"MEDICINE, GENERAL & INTERNAL(SCIE)",23.3,Q1,7/332
BLOOD,0006-4971,1528-0020,HEMATOLOGY(SCIE),23.1,Q1,2/98
Military Medical Research,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL(SCIE)",22.9,Q1,8/332
Exploration,2766-8509,2766-2098,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);MULTIDISCIPLINARY SCIENCES(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",22.5,Q1,5/135
Opto-Electronic Advances,2096-4579,2097-3993,OPTICS(SCIE),22.4,Q1,5/125
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),22.3,Q1,4/230
InfoMat,N/A,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",22.3,Q1,17/460
Annual Review of Medicine,0066-4219,1545-326X,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",22.1,Q1,2/195
Materials Today,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",22,Q1,18/460
ENDOCRINE REVIEWS,0163-769X,1945-7189,ENDOCRINOLOGY & METABOLISM(SCIE),22,Q1,4/191
Nature Food,N/A,2662-1355,FOOD SCIENCE & TECHNOLOGY(SCIE),21.9,Q1,1/181
Nature Reviews Psychology,N/A,2731-0574,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",21.8,Q1,2/221
Advanced Composites and Hybrid Materials,2522-0128,2522-0136,"MATERIALS SCIENCE, COMPOSITES(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",21.8,Q1,1/34
DRUG RESISTANCE UPDATES,1368-7646,1532-2084,PHARMACOLOGY & PHARMACY(SCIE),21.7,Q1,2/352
Lancet Planetary Health,N/A,2542-5196,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",21.6,Q1,4/419
JAMA Neurology,2168-6149,2168-6157,CLINICAL NEUROLOGY(SCIE),21.3,Q1,3/285
Advanced Fiber Materials,2524-7921,2524-793X,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, TEXTILES(SCIE)",21.3,Q1,45688
SusMat,2766-8479,2692-4552,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",21.3,Q1,2/102
International Journal of Extreme Manufacturing,2631-8644,2631-7990,"ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",21.3,Q1,1/71
INTENSIVE CARE MEDICINE,0342-4642,1432-1238,CRITICAL CARE MEDICINE(SCIE),21.2,Q1,2/62
Science Bulletin,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES(SCIE),21.1,Q1,6/135
Applied Catalysis B-Environment and Energy,0926-3373,1873-3883,"CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)",21.1,Q1,1/83
EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,RESPIRATORY SYSTEM(SCIE),21,Q1,2/108
AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,"ETHICS(SSCI);MEDICAL ETHICS(SCIE);SOCIAL ISSUES(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",20.8,Q1,1/77
Nature Metabolism,N/A,2522-5812,ENDOCRINOLOGY & METABOLISM(SCIE),20.8,Q1,5/191
Journal of Thoracic Oncology,1556-0864,1556-1380,ONCOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE),20.8,Q1,3/108
TRENDS IN PLANT SCIENCE,1360-1385,1878-4372,PLANT SCIENCES(SCIE),20.8,Q1,3/273
Annual Review of Public Health,0163-7525,1545-2093,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",20.7,Q1,5/419
REPORTS ON PROGRESS IN PHYSICS,0034-4885,1361-6633,"PHYSICS, MULTIDISCIPLINARY(SCIE)",20.7,Q1,4/114
ANNALS OF THE RHEUMATIC DISEASES,0003-4967,1468-2060,RHEUMATOLOGY(SCIE),20.6,Q1,2/58
Annual Review of Biochemistry,0066-4154,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),20.5,Q1,6/319
Cell Stem Cell,1934-5909,1875-9777,CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE),20.4,Q1,1/32
Lancet Microbe,N/A,2666-5247,INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE),20.4,Q1,2/137
Environmental Chemistry Letters,1610-3653,1610-3661,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)",20.4,Q1,7/374
Bioactive Materials,N/A,2452-199X,"ENGINEERING, BIOMEDICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",20.3,Q1,3/124
Nature Chemistry,1755-4330,1755-4349,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",20.2,Q1,10/239
Energy Storage Materials,2405-8297,2405-8289,"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",20.2,Q1,22/460
JAMA Oncology,2374-2437,2374-2445,ONCOLOGY(SCIE),20.1,Q1,14/326
NATURE NEUROSCIENCE,1097-6256,1546-1726,NEUROSCIENCES(SCIE),20,Q1,2/314
Nature Synthesis,N/A,2731-0582,"CHEMISTRY, MULTIDISCIPLINARY(ESCI)",20,Q1,11/239
TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,1873-3735,PHARMACOLOGY & PHARMACY(SCIE),19.9,Q1,3/352
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",19.8,Q1,3/221
Cellular & Molecular Immunology,1672-7681,2042-0226,IMMUNOLOGY(SCIE),19.8,Q1,5/183
Chem,2451-9294,2451-9294,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",19.6,Q1,12/239
Nature Microbiology,2058-5276,2058-5276,MICROBIOLOGY(SCIE),19.4,Q1,4/163
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE),19.4,Q1,4/108
Nature Aging,N/A,2662-8465,CELL BIOLOGY(SCIE);GERIATRICS & GERONTOLOGY(SCIE);NEUROSCIENCES(SCIE),19.4,Q1,1/73
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,"CHEMISTRY, PHYSICAL(SCIE)",19.3,Q1,11/185
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,MICROBIOLOGY(SCIE),19.3,Q1,5/163
IEEE-CAA Journal of Automatica Sinica,2329-9266,2329-9274,AUTOMATION & CONTROL SYSTEMS(SCIE),19.2,Q1,1/89
PhotoniX,N/A,2662-1991,OPTICS(SCIE),19.1,Q1,6/125
NATURE CELL BIOLOGY,1465-7392,1476-4679,CELL BIOLOGY(SCIE),19.1,Q1,10/204
Annual Review of Physiology,0066-4278,1545-1585,PHYSIOLOGY(SCIE),19.1,Q1,2/87
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",19,Q1,9/187
Annual Review of Marine Science,1941-1405,1941-0611,GEOCHEMISTRY & GEOPHYSICS(SCIE);MARINE & FRESHWATER BIOLOGY(SCIE);OCEANOGRAPHY(SCIE),18.9,Q1,1/119
Advanced Photonics,N/A,2577-5421,OPTICS(SCIE),18.8,Q1,7/125
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,0890-6955,1879-2170,"ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MECHANICAL(SCIE)",18.8,Q1,2/182
Cell Host & Microbe,1931-3128,1934-6069,MICROBIOLOGY(SCIE);PARASITOLOGY(SCIE);VIROLOGY(SCIE),18.7,Q1,1/47
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",18.6,Q1,3/366
Nature Physics,1745-2473,1745-2481,"PHYSICS, MULTIDISCIPLINARY(SCIE)",18.4,Q1,5/114
Computational Visual Media,2096-0433,2096-0662,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",18.3,Q1,1/128
Nature Computational Science,N/A,2662-8457,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);MULTIDISCIPLINARY SCIENCES(SCIE)",18.3,Q1,2/175
