期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Mat Sci Eng R,MATERIALS SCIENCE & ENGINEERING R-REPORTS,7964,26.625,0.00568,Q1,16,荷兰,不定期
Cancer Cell,CANCER CELL,41065,26.602,0.09551,Q1,99,美国,月刊
Mater Today,Materials Today,15572,26.416,0.02225,Q1,76,英国,月刊
Phys Rep,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,28868,25.809,0.03004,Q1,50,荷兰,周刊
Annu Rev Biochem,Annual Review of Biochemistry,20499,25.787,0.0248,Q1,30,美国,年刊
Physiol Rev,PHYSIOLOGICAL REVIEWS,28713,25.588,0.02401,Q1,39,美国,季刊
Lancet Diabetes Endo,Lancet Diabetes & Endocrinology,9533,25.34,0.04164,Q1,69,英国,
Adv Energy Mater,Advanced Energy Materials,67558,25.245,0.16921,Q1,581,德国,
Lancet Resp Med,Lancet Respiratory Medicine,9113,25.094,0.0396,Q1,74,英国,
JAMA Oncol,JAMA Oncology,13794,24.799,0.06471,Q1,151,美国,月刊
Lancet Infect Dis,LANCET INFECTIOUS DISEASES,25163,24.446,0.07763,Q1,143,美国,月刊
IEEE Commun Surv Tut,IEEE Communications Surveys and Tutorials,18995,23.7,0.04103,Q1,125,美国,季刊
Circulation,CIRCULATION,158218,23.603,0.20538,Q1,354,美国,周刊
Eur Heart J,EUROPEAN HEART JOURNAL,59968,22.673,0.14083,Q1,257,英国,双月刊
Prog Polym Sci,PROGRESS IN POLYMER SCIENCE,26874,22.62,0.01899,Q1,60,美国,月刊
Clin Microbiol Rev,CLINICAL MICROBIOLOGY REVIEWS,19987,22.556,0.01964,Q1,35,美国,季刊
Immunity,IMMUNITY,54819,22.553,0.12409,Q1,171,美国,月刊
Nat Chem,Nature Chemistry,35223,21.687,0.08288,Q1,124,英国,月刊
Lancet Glob Health,Lancet Global Health,9165,21.597,0.04486,Q1,120,英国,
Cell Metab,Cell Metabolism,39581,21.567,0.09744,Q1,173,美国,月刊
Rev Geophys,REVIEWS OF GEOPHYSICS,12599,21.449,0.01357,Q1,31,美国,季刊
Ann Intern Med,ANNALS OF INTERNAL MEDICINE,58033,21.317,0.09135,Q1,130,美国,双月刊
Nat Clim Change,Nature Climate Change,27080,20.893,0.0892,Q1,133,英国,
Cell Stem Cell,Cell Stem Cell,26471,20.86,0.07819,Q1,117,美国,月刊
Psychol Bull,PSYCHOLOGICAL BULLETIN,52569,20.838,0.02712,Q1,36,美国,双月刊
Accounts Chem Res,ACCOUNTS OF CHEMICAL RESEARCH,72742,20.834,0.12217,Q1,324,美国,月刊
Nat Rev Nephrol,Nature Reviews Nephrology,6911,20.711,0.01964,Q1,42,美国,月刊
J Am Coll Cardiol,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,101927,20.589,0.19351,Q1,398,美国,月刊
J Hepatol,JOURNAL OF HEPATOLOGY,42177,20.582,0.08213,Q1,204,荷兰,月刊
Cell Res,CELL RESEARCH,16237,20.507,0.03771,Q1,61,中国,月刊
Nat Immunol,NATURE IMMUNOLOGY,44709,20.479,0.08185,Q1,133,美国,月刊
Nat Rev Cardiol,Nature Reviews Cardiology,7100,20.26,0.02116,Q1,43,英国,月刊
Nat Neurosci,NATURE NEUROSCIENCE,62932,20.071,0.14458,Q1,192,美国,月刊
Nat Cell Biol,NATURE CELL BIOLOGY,41904,20.042,0.07726,Q1,135,英国,月刊
Living Rev Sol Phys,Living Reviews in Solar Physics,1424,20,0.00283,Q1,6,德国,
Annu Rev Immunol,Annual Review of Immunology,17080,19.9,0.01928,Q1,24,美国,年刊
Gut,GUT,46583,19.819,0.07141,Q1,192,英国,月刊
Chem-US,Chem,7022,19.735,0.02462,Q1,173,,
Annu Rev Physiol,Annual Review of Physiology,9466,19.556,0.01019,Q1,26,美国,年刊
Annu Rev Plant Biol,Annual Review of Plant Biology,20410,19.54,0.01511,Q1,29,美国,年刊
Nat Phys,Nature Physics,37113,19.256,0.11534,Q1,190,英国,月刊
ACS Energy Lett,ACS Energy Letters,18351,19.003,0.05978,Q1,349,,
Nat Biomed Eng,Nature Biomedical Engineering,3143,18.952,0.01421,Q1,72,,
Eur Urol,EUROPEAN UROLOGY,33097,18.728,0.06313,Q1,174,荷兰,月刊
Sci Robot,Science Robotics,1859,18.684,0.00653,Q1,66,,
JAMA Intern Med,JAMA Internal Medicine,17260,18.652,0.08631,Q1,128,美国,
Ann Oncol,ANNALS OF ONCOLOGY,45813,18.274,0.10722,Q1,187,英国,月刊
Psychol Sci Publ Int,Psychological Science in the Public Interest,1590,18.25,0.00287,Q1,3,,
Annu Rev Psychol,Annual Review of Psychology,21254,18.111,0.01951,Q1,30,美国,年刊
IEEE T Pattern Anal,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,52888,17.861,0.06559,Q1,215,美国,月刊
Blood,BLOOD,165117,17.794,0.20555,Q1,494,美国,双月刊
Intens Care Med,INTENSIVE CARE MEDICINE,22617,17.679,0.03751,Q1,98,美国,月刊
JAMA Psychiat,JAMA Psychiatry,13433,17.471,0.05621,Q1,106,美国,
Am J Resp Crit Care,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,61914,17.452,0.08533,Q1,224,美国,双月刊
Pharmacol Rev,PHARMACOLOGICAL REVIEWS,12500,17.395,0.01037,Q1,22,美国,季刊
Gastroenterology,GASTROENTEROLOGY,75858,17.373,0.10419,Q1,254,美国,月刊
Behav Brain Sci,BEHAVIORAL AND BRAIN SCIENCES,9392,17.333,0.00813,Q1,18,英国,双月刊
Alzheimers Dement,Alzheimers & Dementia,16289,17.127,0.04223,Q1,137,美国,季刊
Appl Phys Rev,Applied Physics Reviews,3445,17.054,0.01124,Q1,66,美国,
Rep Prog Phys,REPORTS ON PROGRESS IN PHYSICS,18768,17.032,0.03298,Q1,54,英国,月刊
Nano Today,Nano Today,8882,16.907,0.01326,Q1,57,英国,季刊
Adv Funct Mater,ADVANCED FUNCTIONAL MATERIALS,116431,16.836,0.21448,Q1,1382,德国,月刊
Wires Comput Mol Sci,Wiley Interdisciplinary Reviews-Computational Molecular Science,5896,16.778,0.01042,Q1,34,英国,
Annu Rev Pathol-Mech,Annual Review of Pathology-Mechanisms of Disease,5083,16.75,0.00908,Q1,20,美国,年刊
Natl Sci Rev,National Science Review,2775,16.693,0.00977,Q1,82,中国,
Appl Catal B-Environ,APPLIED CATALYSIS B-ENVIRONMENTAL,97041,16.683,0.1206,Q1,1097,荷兰,双月刊
Nat Rev Rheumatol,Nature Reviews Rheumatology,8803,16.625,0.02081,Q1,46,美国,月刊
Nano Energy,Nano Energy,52300,16.602,0.11587,Q1,1027,美国,
Annu Rev Publ Health,Annual Review of Public Health,7435,16.463,0.01284,Q1,25,美国,年刊
Adv Phys,ADVANCES IN PHYSICS,5718,16.375,0.00495,Q1,4,英国,双月刊
Annu Rev Mar Sci,Annual Review of Marine Science,4445,16.359,0.0091,Q1,20,美国,年刊
Annu Rev Fluid Mech,Annual Review of Fluid Mechanics,13312,16.306,0.01073,Q1,21,美国,年刊
Sci Transl Med,Science Translational Medicine,34479,16.304,0.11615,Q1,264,美国,周刊
Lancet Public Health,Lancet Public Health,1826,16.292,0.00964,Q1,45,,
Energy Storage Mater,Energy Storage Materials,8456,16.28,0.0164,Q1,411,,
Lancet Psychiat,Lancet Psychiatry,6405,16.209,0.02833,Q1,69,英国,
Ann Rheum Dis,ANNALS OF THE RHEUMATIC DISEASES,45865,16.102,0.07305,Q1,192,英国,月刊
Trends Cell Biol,TRENDS IN CELL BIOLOGY,15395,16.041,0.03473,Q1,72,英国,月刊
Diabetes Care,DIABETES CARE,70314,16.019,0.08787,Q1,302,美国,月刊
Astron Astrophys Rev,ASTRONOMY AND ASTROPHYSICS REVIEW,2002,16,0.00289,Q1,7,德国,季刊
Cell Host Microbe,Cell Host & Microbe,20501,15.923,0.06468,Q1,132,美国,月刊
Adv Sci,Advanced Science,14599,15.84,0.03954,Q1,485,美国,
Mol Cell,MOLECULAR CELL,69148,15.584,0.16619,Q1,352,美国,双月刊
Annu Rev Biomed Eng,Annual Review of Biomedical Engineering,4698,15.541,0.0049,Q1,21,美国,年刊
Nat Microbiol,Nature Microbiology,8230,15.54,0.04154,Q1,236,,
Fungal Divers,FUNGAL DIVERSITY,4577,15.386,0.00695,Q1,20,中国,双月刊
Coordin Chem Rev,COORDINATION CHEMISTRY REVIEWS,36208,15.367,0.03684,Q1,274,荷兰,月刊
Mol Cancer,Molecular Cancer,15448,15.302,0.02401,Q1,175,英国,月刊
Trends Cogn Sci,TRENDS IN COGNITIVE SCIENCES,27698,15.218,0.03611,Q1,69,英国,月刊
Prog Lipid Res,PROGRESS IN LIPID RESEARCH,6139,15.083,0.00572,Q1,25,,
J Extracell Vesicles,Journal of Extracellular Vesicles,4809,14.976,0.01229,Q1,65,,
Psychother Psychosom,PSYCHOTHERAPY AND PSYCHOSOMATICS,4275,14.864,0.00649,Q1,23,瑞士,双月刊
Prog Retin Eye Res,PROGRESS IN RETINAL AND EYE RESEARCH,7056,14.86,0.01005,Q1,41,英国,双月刊
Annu Rev Conden Ma P,Annual Review of Condensed Matter Physics,3172,14.833,0.01218,Q1,22,美国,
Lancet HIV,Lancet HIV,3301,14.813,0.01812,Q1,71,英国,
Lancet Gastroenterol,Lancet Gastroenterology & Hepatology,2858,14.789,0.01257,Q1,70,,
Phys Life Rev,Physics of Life Reviews,1627,14.789,0.00316,Q1,31,荷兰,季刊
Trends Ecol Evol,TRENDS IN ECOLOGY & EVOLUTION,38177,14.764,0.03238,Q1,84,英国,月刊
Trends Biochem Sci,TRENDS IN BIOCHEMICAL SCIENCES,18417,14.732,0.03205,Q1,72,荷兰,月刊
Adv Opt Photonics,Advances in Optics and Photonics,2806,14.69,0.00531,Q1,12,美国,
Hepatology,HEPATOLOGY,65758,14.679,0.09158,Q1,331,美国,月刊
Annu Rev Cell Dev Bi,Annual Review of Cell and Developmental Biology,10057,14.667,0.01673,Q1,29,美国,年刊
Endocr Rev,ENDOCRINE REVIEWS,13717,14.661,0.00932,Q1,55,美国,双月刊
J Am Chem Soc,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,556240,14.612,0.62987,Q1,2507,美国,周刊
ACS Nano,ACS Nano,166989,14.588,0.32002,Q1,1380,美国,月刊
J Pineal Res,JOURNAL OF PINEAL RESEARCH,10537,14.528,0.00944,Q1,72,美国,双月刊
Circ Res,CIRCULATION RESEARCH,51539,14.467,0.07148,Q1,190,美国,双月刊
Int Mater Rev,INTERNATIONAL MATERIALS REVIEWS,5950,14.429,0.00479,Q1,16,美国,双月刊
Trends Plant Sci,TRENDS IN PLANT SCIENCE,23935,14.416,0.02511,Q1,83,英国,月刊
Neuron,NEURON,95056,14.415,0.19982,Q1,311,美国,月刊
Trends Biotechnol,TRENDS IN BIOTECHNOLOGY,17028,14.343,0.01837,Q1,84,荷兰,月刊
Int Rev Sport Exer P,International Review of Sport and Exercise Psychology,1058,14.333,0.00151,Q1,12,,
Acta Neuropathol,ACTA NEUROPATHOLOGICA,21910,14.256,0.0408,Q1,108,德国,月刊
Am J Psychiat,AMERICAN JOURNAL OF PSYCHIATRY,41967,14.119,0.03444,Q1,81,美国,月刊
Annu Rev Ecol Evol S,Annual Review of Ecology Evolution and Systematics,20714,14.041,0.01155,Q1,25,美国,年刊
JAMA Pediatr,JAMA Pediatrics,9795,13.946,0.04513,Q1,106,美国,
Immunol Rev,IMMUNOLOGICAL REVIEWS,15973,13.939,0.02668,Q1,84,丹麦,双月刊
Fems Microbiol Rev,FEMS MICROBIOLOGY REVIEWS,13478,13.92,0.01624,Q1,33,荷兰,双月刊
Annu Rev Entomol,Annual Review of Entomology,13152,13.796,0.00946,Q1,21,美国,年刊
Light-Sci Appl,Light-Science & Applications,7659,13.714,0.02454,Q1,113,英国,
Annu Rev Clin Psycho,Annual Review of Clinical Psychology,6125,13.692,0.00958,Q1,23,美国,年刊
Inform Fusion,Information Fusion,6409,13.669,0.01129,Q1,153,荷兰,季刊
J Stat Softw,Journal of Statistical Software,25372,13.642,0.05314,Q1,52,美国,不定期
JAMA Surg,JAMA Surgery,8471,13.625,0.03834,Q1,121,美国,
JAMA Neurol,JAMA Neurology,10471,13.608,0.04313,Q1,133,美国,
Mmwr-Morbid Mortal W,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,26879,13.606,0.09177,Q1,212,美国,
IEEE Ind Electron M,IEEE Industrial Electronics Magazine,1801,13.593,0.00383,Q1,20,美国,季刊
Nat Geosci,Nature Geoscience,26568,13.566,0.06828,Q1,154,英国,月刊
Trends Microbiol,TRENDS IN MICROBIOLOGY,13606,13.546,0.02281,Q1,76,美国,月刊
Trends Pharmacol Sci,TRENDS IN PHARMACOLOGICAL SCIENCES,13034,13.503,0.01777,Q1,68,荷兰,月刊
Malacologia,MALACOLOGIA,967,13.5,0.00073,Q1,11,美国,半年刊
Signal Transduct Tar,Signal Transduction and Targeted Therapy,1182,13.493,0.00338,Q1,43,,
Sci Immunol,Science Immunology,2516,13.44,0.01508,Q1,73,,
Trends Immunol,TRENDS IN IMMUNOLOGY,13037,13.422,0.02498,Q1,74,美国,月刊
Prog Part Nucl Phys,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,3733,13.421,0.00675,Q1,38,英国,半年刊
J Thorac Oncol,Journal of Thoracic Oncology,18136,13.357,0.03827,Q1,186,美国,月刊
Adv Drug Deliver Rev,ADVANCED DRUG DELIVERY REVIEWS,36796,13.3,0.0332,Q1,145,荷兰,月刊
Nat Plants,Nature Plants,5923,13.256,0.02772,Q1,127,美国,
Sci Adv,Science Advances,36381,13.117,0.17222,Q1,1238,,
IEEE Geosc Rem Sen M,IEEE Geoscience and Remote Sensing Magazine,1304,13,0.00371,Q1,24,,
Angew Chem Int Edit,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,351236,12.959,0.55088,Q1,2697,德国,周刊
Trends Neurosci,TRENDS IN NEUROSCIENCES,20012,12.891,0.02125,Q1,64,荷兰,月刊
Kidney Int Suppl,Kidney International Supplements,2001,12.818,0.00221,Q1,1,美国,
JAMA Cardiol,JAMA Cardiology,4740,12.794,0.03018,Q1,120,,
JACC-Cardiovasc Imag,JACC-Cardiovascular Imaging,10110,12.74,0.02767,Q1,158,美国,
ACS Central Sci,ACS Central Science,6667,12.685,0.02685,Q1,184,,
Hum Reprod Update,HUMAN REPRODUCTION UPDATE,9679,12.684,0.01262,Q1,39,英国,双月刊
Brit J Sport Med,BRITISH JOURNAL OF SPORTS MEDICINE,23370,12.68,0.03996,Q1,166,英国,月刊
Annu Rev Phytopathol,Annual Review of Phytopathology,8104,12.623,0.00762,Q1,23,美国,年刊
Nat Chem Biol,Nature Chemical Biology,22085,12.587,0.06013,Q1,137,美国,月刊
Phys Rev X,Physical Review X,16532,12.577,0.08723,Q1,235,美国,
Microbiol Mol Biol R,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12355,12.568,0.00913,Q1,15,美国,季刊
Nat Ecol Evol,Nature Ecology & Evolution,6173,12.543,0.03139,Q1,175,,
Annu Rev Mater Res,Annual Review of Materials Research,8346,12.531,0.00683,Q1,15,美国,年刊
Annu Rev Neurosci,Annual Review of Neuroscience,13212,12.528,0.01276,Q1,23,美国,年刊
Mol Psychiatr,MOLECULAR PSYCHIATRY,22227,12.384,0.05479,Q1,129,英国,月刊
ACS Catal,ACS Catalysis,70712,12.35,0.17255,Q1,1155,美国,
Eur Respir J,EUROPEAN RESPIRATORY JOURNAL,38531,12.339,0.06309,Q1,232,英国,月刊
Ocul Surf,Ocular Surface,2919,12.336,0.00592,Q1,97,美国,季刊
Pers Soc Psychol Rev,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,6700,12.321,0.00703,Q1,15,,
Mater Horiz,Materials Horizons,6332,12.319,0.01742,Q1,193,英国,
Nat Hum Behav,Nature Human Behaviour,2457,12.282,0.01421,Q1,115,,
Nano-Micro Lett,Nano-Micro Letters,3393,12.264,0.00579,Q1,104,中国,
Small Methods,Small Methods,3528,12.13,0.00896,Q1,181,,
Nat Commun,Nature Communications,312602,12.121,1.26084,Q1,5469,英国,双月刊
Renew Sust Energ Rev,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,105054,12.11,0.15717,Q1,639,美国,季刊
Biol Psychiat,BIOLOGICAL PSYCHIATRY,44016,12.095,0.05398,Q1,172,美国,双月刊
Mol Plant,Molecular Plant,11432,12.084,0.02859,Q1,103,中国,双月刊
Nat Sustain,Nature Sustainability,1423,12.08,0.00508,Q1,118,,
Nat Prod Rep,NATURAL PRODUCT REPORTS,11240,12,0.01363,Q1,65,英国,月刊
Basic Res Cardiol,BASIC RESEARCH IN CARDIOLOGY,4704,11.981,0.00639,Q1,49,德国,双月刊
Nat Struct Mol Biol,NATURE STRUCTURAL & MOLECULAR BIOLOGY,27178,11.98,0.05679,Q1,121,美国,
J Photoch Photobio C,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,4113,11.952,0.0036,Q1,22,日本,三年刊
J Clin Invest,JOURNAL OF CLINICAL INVESTIGATION,109020,11.864,0.1259,Q1,394,美国,月刊
Acad Manag Ann,Academy of Management Annals,4227,11.75,0.00947,Q1,23,,
J Exp Med,JOURNAL OF EXPERIMENTAL MEDICINE,63563,11.743,0.06738,Q1,163,美国,双月刊
Annu Rev Biophys,Annual Review of Biophysics,3014,11.685,0.00744,Q1,23,美国,年刊
Trends Endocrin Met,TRENDS IN ENDOCRINOLOGY AND METABOLISM,9712,11.641,0.01651,Q1,72,美国,月刊
Eur J Heart Fail,EUROPEAN JOURNAL OF HEART FAILURE,12784,11.627,0.02874,Q1,126,荷兰,双月刊
Microbiome,Microbiome,7321,11.607,0.0287,Q1,151,英国,
JNCI-J Natl Cancer I,JNCI-Journal of the National Cancer Institute,36018,11.577,0.04551,Q1,136,美国,双月刊
Nat Astron,Nature Astronomy,3020,11.518,0.01268,Q1,124,,
Bone Res,Bone Research,1679,11.508,0.00408,Q1,32,中国,
Nucleic Acids Res,NUCLEIC ACIDS RESEARCH,201664,11.502,0.40338,Q1,1215,,
Small,Small,60569,11.459,0.11131,Q1,972,德国,月刊
SIAM Rev,SIAM REVIEW,9060,11.431,0.00869,Q1,24,美国,季刊
IEEE J Sel Area Comm,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,20101,11.42,0.04024,Q1,190,美国,月刊
IEEE Wirel Commun,IEEE WIRELESS COMMUNICATIONS,8140,11.391,0.01705,Q1,133,美国,双月刊
Catal Rev,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,3469,11.389,0.00115,Q1,13,美国,三年刊
Q J Econ,QUARTERLY JOURNAL OF ECONOMICS,29585,11.375,0.05572,Q1,40,,
IEEE Signal Proc Mag,IEEE SIGNAL PROCESSING MAGAZINE,11566,11.35,0.01595,Q1,52,美国,双月刊
Brain,BRAIN,53283,11.337,0.06713,Q1,265,英国,月刊
Trends Genet,TRENDS IN GENETICS,12534,11.333,0.02201,Q1,72,荷兰,月刊
J Mater Chem A,Journal of Materials Chemistry A,154853,11.301,0.31668,Q1,2677,英国,
Annu Rev Pharmacol,Annual Review of Pharmacology and Toxicology,7812,11.25,0.00798,Q1,29,美国,年刊
Nano Lett,NANO LETTERS,165521,11.238,0.27929,Q1,1160,美国,月刊
IEEE T Evolut Comput,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,15581,11.169,0.01177,Q1,76,美国,双月刊
Med Image Anal,MEDICAL IMAGE ANALYSIS,9028,11.148,0.01723,Q1,147,荷兰,季刊
Annu Rev Genet,Annual Review of Genetics,7800,11.146,0.0097,Q1,22,美国,年刊
Trends Mol Med,TRENDS IN MOLECULAR MEDICINE,10618,11.099,0.01873,Q1,74,英国,月刊
Genome Res,GENOME RESEARCH,41756,11.093,0.07695,Q1,180,美国,月刊
Trends Cancer,Trends in Cancer,2351,11.093,0.01015,Q1,52,,
Semin Cancer Biol,SEMINARS IN CANCER BIOLOGY,8310,11.09,0.01175,Q1,95,英国,双月刊
IEEE T Cybernetics,IEEE Transactions on Cybernetics,17681,11.079,0.05251,Q1,373,美国,
Trends Food Sci Tech,TRENDS IN FOOD SCIENCE & TECHNOLOGY,18701,11.077,0.01925,Q1,314,英国,不定期
Mol Biol Evol,MOLECULAR BIOLOGY AND EVOLUTION,50495,11.062,0.08476,Q1,222,美国,月刊
J Hematol Oncol,Journal of Hematology & Oncology,6732,11.059,0.01556,Q1,133,英国,不定期
IEEE Commun Mag,IEEE COMMUNICATIONS MAGAZINE,25020,11.052,0.05239,Q1,212,美国,月刊
Annu Rev Microbiol,Annual Review of Microbiology,10134,11,0.00948,Q1,30,美国,年刊
Drug Resist Update,DRUG RESISTANCE UPDATES,3165,11,0.00422,Q1,17,英国,双月刊
Nat Rev Urol,Nature Reviews Urology,3761,11,0.00881,Q1,43,美国,月刊
Annu Rev Nutr,Annual Review of Nutrition,5766,10.897,0.00507,Q1,14,美国,年刊
Thorax,THORAX,21856,10.844,0.02713,Q1,146,英国,月刊
Genome Biol,GENOME BIOLOGY,44222,10.806,0.13404,Q1,252,英国,
Annu Rev Organ Psych,Annual Review of Organizational Psychology and Organizational Behavior,1505,10.795,0.00741,Q1,18,,
Entrep Theory Pract,ENTREPRENEURSHIP THEORY AND PRACTICE,11864,10.75,0.00768,Q1,48,,
Biotechnol Adv,BIOTECHNOLOGY ADVANCES,19321,10.744,0.01925,Q1,110,英国,双月刊
Cell Death Differ,CELL DEATH AND DIFFERENTIATION,21095,10.717,0.02974,Q1,188,英国,月刊
Biol Rev,BIOLOGICAL REVIEWS,13493,10.701,0.01948,Q1,105,英国,季刊
Genome Med,Genome Medicine,6463,10.675,0.02653,Q1,70,英国,
Laser Photonics Rev,Laser & Photonics Reviews,7354,10.655,0.01629,Q1,81,德国,双月刊
Chem Eng J,CHEMICAL ENGINEERING JOURNAL,129806,10.652,0.15466,Q1,2508,瑞士,双月刊
Annu Rev Phys Chem,Annual Review of Physical Chemistry,8511,10.638,0.00857,Q1,15,美国,年刊
Ageing Res Rev,AGEING RESEARCH REVIEWS,7292,10.616,0.0137,Q1,80,爱尔兰,季刊
J Ind Inf Integr,Journal of Industrial Information Integration,592,10.615,0.00098,Q1,44,,
Pharmacol Therapeut,PHARMACOLOGY & THERAPEUTICS,16615,10.557,0.0235,Q1,148,英国,月刊
Am J Hum Genet,AMERICAN JOURNAL OF HUMAN GENETICS,36785,10.502,0.06014,Q1,192,美国,月刊
PLoS Med,PLOS MEDICINE,32312,10.5,0.06608,Q1,249,美国,月刊
Global Environ Chang,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,18470,10.466,0.0274,Q1,116,英国,季刊
Mater Today Phys,Materials Today Physics,814,10.443,0.00207,Q1,52,,
Rev Mineral Geochem,Reviews in Mineralogy & Geochemistry,6127,10.438,0.00471,Q1,0,美国,不定期
Nat Protoc,Nature Protocols,42810,10.419,0.06803,Q1,143,英国,季刊
