Journal,年份,ISSN/EISSN,Review,OA Journal Index（OAJ）,Open Access,Web of Science,标注,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
4OR-A Quarterly Journal of Operations Research,2025,1619-4500/1614-2411,否,否,否,SCIE,,管理学,4 [619/1025],否, OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,4 [70/106],,,,,,,,,,
A & A Practice,2025,2575-3126/2575-3126,否,否,否,ESCI,,医学,4 [4609/5603],否, ANESTHESIOLOGY 麻醉学,4 [50/64],,,,,,,,,,
A + U-ARCHITECTURE AND URBANISM,2025,0389-9160,否,否,否,AHCI,,艺术学,4 [449/484],否, ARCHITECTURE 建筑学,4 [67/94],,,,,,,,,,
A&C-Revista de Direito Administrativo & Constitucional,2025,1516-3210/1984-4182,否,否,否,ESCI,,社会学,4 [1413/2039],否, LAW 法学,4 [262/427],,,,,,,,,,
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,2025,0171-5410,否,否,否,AHCI,,文学,4 [989/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [341/391], LITERATURE 其他形式的文学,4 [185/199],,,,,,,,
AACN Advanced Critical Care,2025,1559-7768/1559-7776,否,否,否,ESCI,,医学,4 [4024/5603],否, NURSING 护理,4 [130/191],,,,,,,,,,
AAPG BULLETIN,2025,0149-1423/1558-9153,否,否,否,SCIE,,地球科学,3 [215/575],否," GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合",4 [119/258],,,,,,,,,,
AAPS Journal,2025,1550-7416/1550-7416,否,否,否,SCIE,,医学,3 [1936/5603],否, PHARMACOLOGY & PHARMACY 药学,3 [121/350],,,,,,,,,,
AAPS PHARMSCITECH,2025,1530-9932/1530-9932,否,否,否,SCIE,,医学,4 [2554/5603],否, PHARMACOLOGY & PHARMACY 药学,4 [163/350],,,,,,,,,,
AATCC Journal of Research,2025,2472-3444/2330-5517,否,否,否,SCIE,,工程技术,4 [1251/1437],否," MATERIALS SCIENCE, TEXTILES 材料科学：纺织",4 [24/30],,,,,,,,,,
AATCC REVIEW,2025,1532-8813/1532-8813,否,否,否,SCIE,,工程技术,4 [1316/1437],否," CHEMISTRY, APPLIED 应用化学",4 [65/74]," ENGINEERING, CHEMICAL 工程：化工",4 [151/169]," MATERIALS SCIENCE, TEXTILES 材料科学：纺织",4 [26/30],,,,,,
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,2025,2166-4072/2164-9731,否,否,否,AHCI,,历史学,3 [152/778],否, HISTORY 历史学,3 [89/523],,,,,,,,,,
Abacus-A Journal of Accounting Finance and Business Studies,2025,0001-3072/1467-6281,否,否,否,SSCI,,管理学,4 [397/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [85/231],,,,,,,,,,
Abakos,2025,2316-9451/2316-9451,否,否,是,ESCI,,数学,4 [798/815],否," MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用",4 [133/136],,,,,,,,,,
Abanico Veterinario,2025,2007-4204/2448-6132,否,否,否,ESCI,,农林科学,4 [857/904],否, VETERINARY SCIENCES 兽医学,4 [162/167],,,,,,,,,,
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,2025,0102-6720/2317-6326,否,否,是,ESCI,,医学,4 [3377/5603],否, GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学,4 [97/143],,,,,,,,,,
Abdominal Radiology,2025,2366-004X/2366-0058,否,否,否,SCIE,,医学,3 [2133/5603],否," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",4 [77/206],,,,,,,,,,
ABE Journal,2025,2275-6639/2275-6639,否,否,是,ESCI,,艺术学,4 [355/484],否, ARCHITECTURE 建筑学,4 [37/94],,,,,,,,,,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,2025,0025-5858/1865-8784,否,否,否,SCIE,,数学,4 [515/815],否, MATHEMATICS 数学,4 [329/487],,,,,,,,,,
aBIOTECH,2025,2096-6326/2662-1738,否,否,否,ESCI,中国SCI期刊支持计划,农林科学,2 [206/904],否, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,2 [49/174], PLANT SCIENCES 植物科学,2 [67/265],,,,,,,,
Aboriginal History,2025,0314-8769/1837-9389,否,否,否,ESCI,,历史学,3 [269/778],否, HISTORY 历史学,3 [164/523],,,,,,,,,,
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,2025,2014-8526/2014-8534,否,否,是,ESCI,,文学,4 [1024/1193],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",4 [334/406],,,,,,,,,,
Academia y Virtualidad,2025,2011-0731/2011-0731,否,否,是,ESCI,,教育学,4 [782/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [704/754],,,,,,,,,,
Academia-Revista Latinoamericana de Administracion,2025,1012-8255/2056-5127,否,否,否,SSCI,,管理学,4 [698/1025],否, BUSINESS 商业：管理,4 [226/302], MANAGEMENT 管理学,4 [300/404],,,,,,,,
ACADEMIC EMERGENCY MEDICINE,2025,1069-6563/1553-2712,否,否,否,SCIE,,医学,3 [1370/5603],否, EMERGENCY MEDICINE 急救医学,3 [11/54],,,,,,,,,,
Academic Journal of Modern Philology,2025,2299-7164/2353-3218,否,否,是,ESCI,,文学,4 [968/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [334/391],,,,,,,,,,
ACADEMIC MEDICINE,2025,1040-2446/1938-808X,否,否,否,SCIE,,教育学,1 [30/840],是," EDUCATION, SCIENTIFIC DISCIPLINES 学科教育",1 [4/86], HEALTH CARE SCIENCES & SERVICES 卫生保健与服务,1 [9/173],,,,,,,,
Academic Pathology,2025,2374-2895/2374-2895,否,否,是,ESCI,,医学,4 [4164/5603],否, PATHOLOGY 病理学,4 [66/88],,,,,,,,,,
Academic Pediatrics,2025,1876-2859/1876-2867,否,否,否,SCIE,,医学,3 [1784/5603],否, PEDIATRICS 儿科,3 [47/185],,,,,,,,,,
ACADEMIC PSYCHIATRY,2025,1042-9670/1545-7230,否,否,否,SSCI,,医学,4 [3070/5603],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [439/754], PSYCHIATRY 精神病学,4 [178/277],,,,,,,,
ACADEMIC RADIOLOGY,2025,1076-6332/1878-4046,否,否,否,SCIE,,医学,2 [820/5603],否," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",2 [31/206],,,,,,,,,,
Academy of Management Annals,2025,1941-6520/1941-6067,否,否,否,SSCI,,管理学,1 [1/1025],是, BUSINESS 商业：管理,1 [1/302], MANAGEMENT 管理学,1 [1/404],,,,,,,,
Academy of Management Discoveries,2025,2168-1007/2168-1007,否,否,否,SSCI,,管理学,2 [132/1025],否, MANAGEMENT 管理学,3 [87/404],,,,,,,,,,
ACADEMY OF MANAGEMENT JOURNAL,2025,0001-4273/1948-0989,否,否,否,SSCI,,管理学,1 [3/1025],是, BUSINESS 商业：管理,1 [2/302], MANAGEMENT 管理学,1 [3/404],,,,,,,,
Academy of Management Learning & Education,2025,1537-260X,否,否,否,SSCI,,管理学,2 [73/1025],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,2 [28/754], MANAGEMENT 管理学,2 [44/404],,,,,,,,
Academy of Management Perspectives,2025,1558-9080,否,否,否,SSCI,,管理学,2 [119/1025],否, BUSINESS 商业：管理,3 [50/302], MANAGEMENT 管理学,3 [78/404],,,,,,,,
ACADEMY OF MANAGEMENT REVIEW,2025,0363-7425/1930-3807,否,否,否,SSCI,,管理学,1 [5/1025],是, BUSINESS 商业：管理,1 [4/302], MANAGEMENT 管理学,1 [5/404],,,,,,,,
Academy Review,2025,2074-5354/2522-9745,否,否,是,ESCI,,经济学,4 [740/765],否," BUSINESS, FINANCE 商业：财政与金融",4 [220/231], ECONOMICS 经济学,4 [581/599], MANAGEMENT 管理学,4 [373/404],,,,,,
ACADIENSIS,2025,0044-5851/1712-7432,否,否,否,AHCI,,历史学,4 [444/778],否, HISTORY 历史学,4 [265/523],,,,,,,,,,
ACAROLOGIA,2025,0044-586X/2107-7207,否,否,否,SCIE,,农林科学,3 [329/904],否, ENTOMOLOGY 昆虫学,3 [50/109],,,,,,,,,,
Access to Justice in Eastern Europe,2025,2663-0575/2663-0583,否,否,是,ESCI,,社会学,4 [911/2039],否, LAW 法学,4 [162/427],,,,,,,,,,
ACCESS-Access to science business innovation in the digital economy,2025,2683-1007/2683-1007,否,否,是,ESCI,,管理学,4 [653/1025],否, BUSINESS 商业：管理,4 [219/302]," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [123/172], ECONOMICS 经济学,4 [377/599], MANAGEMENT 管理学,4 [282/404],,,,
ACCIDENT ANALYSIS AND PREVENTION,2025,0001-4575/1879-2057,否,否,否,SSCI,,工程技术,1 [40/1437],是, ERGONOMICS 人体工程学,1 [1/24]," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",1 [13/404]," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",1 [3/263], TRANSPORTATION 交通运输,2 [5/58],,,,
Accion Psicologica,2025,1578-908X/2255-1271,否,否,是,ESCI,,心理学,4 [627/657],否," PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合",4 [205/219],,,,,,,,,,
Acciones e Investigaciones Sociales,2025,1132-192X/2340-4507,否,否,是,ESCI,,社会学,4 [1927/2039],否," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [233/263],,,,,,,,,,
Accountability in Research-Ethics Integrity and Policy,2025,0898-9621/1545-5815,否,否,否,SCIE,,哲学,2 [99/795],否, MEDICAL ETHICS 医学：伦理,2 [5/23],,,,,,,,,,
ACCOUNTING AND BUSINESS RESEARCH,2025,0001-4788/2159-4260,否,否,否,SSCI,,管理学,4 [484/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [102/231],,,,,,,,,,
Accounting and Finance,2025,0810-5391/1467-629X,否,否,否,SSCI,,管理学,4 [448/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [97/231],,,,,,,,,,
Accounting Auditing & Accountability Journal,2025,0951-3574/1758-4205,否,否,否,SSCI,,管理学,2 [91/1025],否," BUSINESS, FINANCE 商业：财政与金融",1 [10/231],,,,,,,,,,
Accounting Economics and Law-A Convivium,2025,2194-6051/2152-2820,否,否,否,ESCI,,管理学,4 [682/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [166/231],,,,,,,,,,
Accounting Education,2025,0963-9284/1468-4489,否,否,否,ESCI,,教育学,3 [155/840],否," BUSINESS, FINANCE 商业：财政与金融",3 [50/231],,,,,,,,,,
Accounting Forum,2025,0155-9982/1467-6303,否,否,否,SSCI,,管理学,3 [296/1025],否," BUSINESS, FINANCE 商业：财政与金融",3 [59/231],,,,,,,,,,
Accounting Historians Journal,2025,0148-4184/2327-4468,否,否,否,ESCI,,管理学,4 [673/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [163/231],,,,,,,,,,
Accounting History Review,2025,2155-2851/2155-286X,否,否,否,ESCI,,管理学,4 [888/1025],否, BUSINESS 商业：管理,4 [273/302],,,,,,,,,,
Accounting History,2025,1032-3732/1749-3374,否,否,否,ESCI,,管理学,4 [501/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [112/231],,,,,,,,,,
Accounting Horizons,2025,0888-7993/1558-7975,否,否,否,SSCI,,管理学,3 [328/1025],否," BUSINESS, FINANCE 商业：财政与金融",3 [70/231],,,,,,,,,,
Accounting in Europe,2025,1744-9480/1744-9499,否,否,否,ESCI,,管理学,3 [187/1025],否," BUSINESS, FINANCE 商业：财政与金融",3 [35/231],,,,,,,,,,
ACCOUNTING ORGANIZATIONS AND SOCIETY,2025,0361-3682/1873-6289,否,否,否,SSCI,,管理学,2 [66/1025],否," BUSINESS, FINANCE 商业：财政与金融",1 [9/231],,,,,,,,,,
Accounting Perspectives,2025,1911-382X/1911-3838,否,否,否,ESCI,,管理学,4 [648/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [158/231],,,,,,,,,,
Accounting Research Journal,2025,1030-9616/1839-5465,否,否,否,ESCI,,管理学,4 [437/1025],否," BUSINESS, FINANCE 商业：财政与金融",4 [92/231],,,,,,,,,,
ACCOUNTING REVIEW,2025,0001-4826/1558-7967,否,否,否,SSCI,,管理学,2 [93/1025],否," BUSINESS, FINANCE 商业：财政与金融",2 [12/231],,,,,,,,,,
ACCOUNTS OF CHEMICAL RESEARCH,2025,0001-4842/1520-4898,是,否,否,SCIE,,化学,1 [9/490],是," CHEMISTRY, MULTIDISCIPLINARY 化学：综合",1 [8/230],,,,,,,,,,
Accounts of Materials Research,2025,2643-6728/2643-6728,否,否,否,ESCI,,材料科学,1 [35/495],是," CHEMISTRY, MULTIDISCIPLINARY 化学：综合",1 [17/230]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",1 [32/436],,,,,,,,
ACCREDITATION AND QUALITY ASSURANCE,2025,0949-1775/1432-0517,否,否,否,SCIE,,工程技术,4 [712/1437],否," CHEMISTRY, ANALYTICAL 分析化学",4 [70/106], INSTRUMENTS & INSTRUMENTATION 仪器仪表,4 [46/76],,,,,,,,
ACE-Architecture City and Environment,2025,1886-4805/1886-4805,否,否,是,ESCI,,艺术学,4 [440/484],否, ARCHITECTURE 建筑学,4 [61/94], URBAN STUDIES 城市研究,4 [64/77],,,,,,,,
ACG Case Reports Journal,2025,2326-3253/2326-3253,否,否,是,ESCI,,医学,4 [4731/5603],否, GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学,4 [125/143],,,,,,,,,,
ACI MATERIALS JOURNAL,2025,0889-325X/1944-737X,否,否,否,SCIE,,工程技术,4 [1064/1437],否, CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术,4 [72/91]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [361/436],,,,,,,,
ACI STRUCTURAL JOURNAL,2025,0889-3241/1944-7361,否,否,否,SCIE,,工程技术,4 [890/1437],否, CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术,4 [55/91]," ENGINEERING, CIVIL 工程：土木",4 [119/180]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [322/436],,,,,,
ACM Communications in Computer Algebra,2025,1932-2232/1932-2240,否,否,否,ESCI,,数学,4 [735/815],否," MATHEMATICS, APPLIED 应用数学",4 [302/330],,,,,,,,,,
ACM COMPUTING SURVEYS,2025,0360-0300/1557-7341,是,否,否,SCIE,,计算机科学,1 [4/758],是," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",1 [1/143],,,,,,,,,,
ACM Journal of Data and Information Quality,2025,1936-1955/1936-1955,否,否,否,ESCI,,计算机科学,4 [441/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [160/249],,,,,,,,,,
ACM Journal on Computing and Cultural Heritage,2025,1556-4673/1556-4711,否,否,否,AHCISCIE,,计算机科学,3 [296/758],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",2 [40/406]," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [82/172],,,,,,,,
ACM Journal on Emerging Technologies in Computing Systems,2025,1550-4832/1550-4840,否,否,否,SCIE,,计算机科学,4 [431/758],否," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",4 [44/58]," ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气",4 [197/352], NANOSCIENCE & NANOTECHNOLOGY 纳米科技,4 [83/139],,,,,,
ACM SIGCOMM Computer Communication Review,2025,0146-4833/1943-5819,否,否,否,SCIE,,计算机科学,4 [525/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [184/249],,,,,,,,,,
ACM SIGecom Exchanges,2025,1551-9031/1551-9031,否,否,否,ESCI,,计算机科学,4 [574/758],否," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [146/172],,,,,,,,,,
ACM Transactions on Accessible Computing,2025,1936-7228/1936-7236,否,否,否,ESCI,,计算机科学,2 [109/758],否," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",2 [31/172],,,,,,,,,,
ACM Transactions on Algorithms,2025,1549-6325/1549-6333,否,否,否,SCIE,,计算机科学,3 [251/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",3 [44/143]," MATHEMATICS, APPLIED 应用数学",3 [87/330],,,,,,,,
ACM Transactions on Applied Perception,2025,1544-3558/1544-3965,否,否,否,SCIE,,计算机科学,3 [274/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [55/131],,,,,,,,,,
ACM Transactions on Architecture and Code Optimization,2025,1544-3566/1544-3973,否,否,否,SCIE,,计算机科学,3 [241/758],否," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",3 [26/58]," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",3 [43/143],,,,,,,,
ACM Transactions on Asian and Low-Resource Language Information Processing,2025,2375-4699/2375-4702,否,否,否,SCIE,,计算机科学,4 [384/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [113/196],,,,,,,,,,
ACM Transactions on Autonomous and Adaptive Systems,2025,1556-4665/1556-4703,否,否,否,SCIE,,计算机科学,4 [323/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",3 [60/143]," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [98/196]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [115/249],,,,,,
ACM Transactions on Computation Theory,2025,1942-3454/1942-3462,否,否,否,ESCI,,计算机科学,4 [320/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",3 [58/143],,,,,,,,,,
ACM Transactions on Computational Logic,2025,1529-3785/1557-945X,否,否,否,SCIE,,数学,4 [349/815],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",4 [70/143], LOGIC 逻辑学,4 [16/25],,,,,,,,
ACM TRANSACTIONS ON COMPUTER SYSTEMS,2025,0734-2071/1557-7333,否,否,否,SCIE,,计算机科学,4 [334/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",3 [62/143],,,,,,,,,,
ACM Transactions on Computer-Human Interaction,2025,1073-0516/1557-7325,否,否,否,SCIE,,计算机科学,1 [37/758],是," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",1 [11/249]," COMPUTER SCIENCE, CYBERNETICS 计算机：控制论",2 [3/32],,,,,,,,
ACM Transactions on Computing Education,2025,1946-6226/1946-6226,否,否,否,SCIE,,教育学,3 [112/840],否," EDUCATION, SCIENTIFIC DISCIPLINES 学科教育",3 [15/86],,,,,,,,,,
ACM Transactions on Cyber-Physical Systems,2025,2378-962X/2378-9638,否,否,否,ESCI,,计算机科学,4 [426/758],否," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [113/172],,,,,,,,,,
ACM TRANSACTIONS ON DATABASE SYSTEMS,2025,0362-5915/1557-4644,否,否,否,SCIE,,计算机科学,2 [71/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",1 [9/131]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",2 [25/249],,,,,,,,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2025,1084-4309/1557-7309,否,否,否,SCIE,,计算机科学,4 [322/758],否," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",4 [33/58]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",4 [67/131],,,,,,,,
ACM Transactions on Economics and Computation,2025,2167-8375/2167-8383,否,否,否,ESCI,,计算机科学,4 [336/758],否," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [88/172],,,,,,,,,,
ACM Transactions on Embedded Computing Systems,2025,1539-9087/1558-3465,否,否,否,SCIE,,计算机科学,3 [213/758],否," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",3 [21/58]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [40/131],,,,,,,,
ACM TRANSACTIONS ON GRAPHICS,2025,0730-0301/1557-7368,否,否,否,SCIE,,计算机科学,1 [23/758],是," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",1 [3/131],,,,,,,,,,
ACM Transactions on Human-Robot Interaction,2025,2573-9522/2573-9522,否,否,否,ESCI,,计算机科学,2 [98/758],否, ROBOTICS 机器人学,2 [7/47],,,,,,,,,,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,2025,1046-8188/1558-2868,否,否,否,SCIE,,计算机科学,2 [58/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",1 [17/249],,,,,,,,,,
ACM Transactions on Intelligent Systems and Technology,2025,2157-6904/2157-6912,否,否,否,SCIE,,计算机科学,3 [230/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",3 [72/196]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",3 [87/249],,,,,,,,
ACM Transactions on Interactive Intelligent Systems,2025,2160-6455/2160-6463,否,否,否,SCIE,,计算机科学,4 [348/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [104/196],,,,,,,,,,
ACM Transactions on Internet of Things,2025,2691-1914/2577-6207,否,否,否,ESCI,,计算机科学,3 [248/758],否," ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气",3 [127/352], TELECOMMUNICATIONS 电信学,3 [46/119]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [92/249],,,,,,
ACM Transactions on Internet Technology,2025,1533-5399/1557-6051,否,否,否,SCIE,,计算机科学,3 [283/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [57/131]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [107/249],,,,,,,,
ACM Transactions on Knowledge Discovery from Data,2025,1556-4681/1556-472X,否,否,否,SCIE,,计算机科学,3 [187/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",3 [68/249]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [35/131],,,,,,,,
ACM Transactions on Management Information Systems,2025,2158-656X/2158-6578,否,否,否,ESCI,,计算机科学,4 [304/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [111/249],,,,,,,,,,
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2025,0098-3500/1557-7295,否,否,否,SCIE,,数学,2 [104/815],否," MATHEMATICS, APPLIED 应用数学",2 [49/330]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [38/131],,,,,,,,
ACM Transactions on Modeling and Computer Simulation,2025,1049-3301/1558-1195,否,否,否,SCIE,,计算机科学,4 [497/758],否," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [131/172]," MATHEMATICS, APPLIED 应用数学",4 [263/330],,,,,,,,
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2025,2376-3639/2376-3647,否,否,否,ESCI,,计算机科学,4 [667/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [217/249],,,,,,,,,,
ACM Transactions on Multimedia Computing Communications and Applications,2025,1551-6857/1551-6865,否,否,否,SCIE,,计算机科学,3 [210/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",2 [30/143]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",3 [76/249]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",3 [39/131],,,,,,
ACM Transactions on Parallel Computing,2025,2329-4949/2329-4957,否,否,否,ESCI,,计算机科学,4 [381/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",4 [78/143],,,,,,,,,,
ACM Transactions on Privacy and Security,2025,2471-2566/2471-2574,否,否,否,SCIE,,计算机科学,3 [222/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",3 [83/249],,,,,,,,,,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,2025,0164-0925/1558-4593,否,否,否,SCIE,,计算机科学,2 [105/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",2 [15/131],,,,,,,,,,
ACM Transactions on Quantum Computing,2025,2643-6809/2643-6817,否,否,否,ESCI,,物理与天体物理,3 [131/406],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",4 [64/143], QUANTUM SCIENCE & TECHNOLOGY 量子科技,4 [12/26],,,,,,,,
