期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
Eur J Immunol,European Journal of Immunology,Q2,133,美国,月刊
Waterbirds,Waterbirds,Q3,48,美国,季刊
Rare Metal Mat Eng,Rare Metal Materials and Engineering,Q4,600,中国,月刊
Psychiat Danub,Psychiatria Danubina,Q4,168,克罗地亚,不定期
J Wine Econ,Journal of Wine Economics,Q2/Q3,25,,
Asian J Org Chem,Asian Journal of Organic Chemistry,Q2,300,德国,
J Astron Telesc Inst,Journal of Astronomical Telescopes Instruments and Systems,Q2/Q3,116,,
BMC Med Res Methodol,BMC Medical Research Methodology,Q1,240,英国,不定期
Adv Differ Equ-Ny,Advances in Difference Equations,Q1,531,美国,
Judgm Decis Mak,Judgment and Decision Making,Q2,61,,
Atherosclerosis,Atherosclerosis,Q1/Q2,272,美国,月刊
Aerospace Am,Aerospace America,Q4,22,美国,月刊
Deut Lebensm-Rundsch,Deutsche Lebensmittel-Rundschau,Q4,49,德国,月刊
Laser Focus World,Laser Focus World,Q4,81,美国,月刊
npj Parkinsons Dis,npj Parkinsons Disease,Q1,28,,
Syst Res Behav Sci,Systems Research and Behavioral Science,Q3/Q4,50,,
Results Phys,Results in Physics,Q1/Q2,1003,荷兰,
Pediatr Exerc Sci,Pediatric Exercise Science,Q3/Q4,56,,
Rev Keynes Econ,Review of Keynesian Economics,Q4,34,,
Prog Photovoltaics,Progress in Photovoltaics,Q1,97,英国,双月刊
Zool Lett,Zoological Letters,Q1,35,,
Geotext Geomembranes,Geotextiles and Geomembranes,Q1,74,英国,双月刊
J Phys Oceanogr,Journal of Physical Oceanography,Q1,167,美国,月刊
Automatica,Automatica,Q1,506,美国,双月刊
Front Zool,Frontiers in Zoology,Q1,46,英国,年刊
Int Forum Allergy Rh,International Forum of Allergy & Rhinology,Q1,165,美国,
J Scholarly Publ,Journal of Scholarly Publishing,Q3,15,,
J Wood Chem Technol,Journal of Wood Chemistry and Technology,Q1,37,美国,季刊
J Cardiac Surg,Journal of Cardiac Surgery,Q3/Q4,197,美国,双月刊
Lat Am J Aquat Res,Latin American Journal of Aquatic Research,Q4,96,智利,半年刊
J Rehabil,Journal of Rehabilitation,Q4,24,,
Top Organometal Chem,Topics in Organometallic Chemistry,Q2,10,,不定期
Med Hist,Medical History,Q1/Q4,23,英国,季刊
Zeitgeschichte,Zeitgeschichte,Q4,17,,
Model Simul Mater Sc,Modelling and Simulation in Materials Science and Engineering,Q3,125,英国,双月刊
Uhod-Uluslar Hematol,Uhod-Uluslararasi Hematoloji-Onkoloji Dergisi,Q3,29,土耳其,季刊
Comput Intell-US,Computational Intelligence,Q4,45,美国,季刊
J Time Ser Anal,Journal of Time Series Analysis,Q3/Q4,65,,
Rev Fac Cienc Agrar,Revista de la Facultad de Ciencias Agrarias,Q3,64,阿根廷,
Struct Health Monit,Structural Health Monitoring-An International Journal,Q1,130,英国,双月刊
Mol Syndromol,Molecular Syndromology,Q4,33,,
Arch Dis Child,Archives of Disease in Childhood,Q1,195,英国,月刊
Hum Gene Ther Method,Human Gene Therapy Methods,Q3,23,美国,
Int J Nurs Knowl,International Journal of Nursing Knowledge,Q3,32,美国,
Isl Arc,Island Arc,Q3,40,澳大利亚,季刊
Crit Perspect Accoun,Critical Perspectives on Accounting,Q1,34,,
Popul Dev Rev,Population and Development Review,Q1,38,,
J Indian I Sci,Journal of the Indian Institute of Science,Q4,42,印度,
J Parasitol,Journal of Parasitology,Q4,84,美国,双月刊
Psychol Rec,Psychological Record,Q3,42,,
Nippon Suisan Gakk,Nippon Suisan Gakkaishi,Q4,80,日本,双月刊
New Forest,New Forests,Q1,60,荷兰,双月刊
Daedalus-US,Daedalus,Q3,51,,
J Clin Lab Anal,Journal of Clinical Laboratory Analysis,Q3,277,美国,双月刊
Circ J,Circulation Journal,Q2,246,日本,月刊
Aust Feminist Stud,Australian Feminist Studies,Q3,29,,
Rev Comp Ch,Reviews in Computational Chemistry,Q1,6,,不定期
World Wide Web,World Wide Web-Internet and Web Information Systems,Q1/Q2,130,美国,季刊
Genes Nutr,Genes and Nutrition,Q1,33,,
Clin Infect Dis,Clinical Infectious Diseases,Q1,605,美国,双月刊
Nature,Nature,Q1,903,英国,周刊
Perspect Psychiatr C,Perspectives in Psychiatric Care,Q3/Q4,98,美国,季刊
Zkg Int,Zkg International,Q4,51,德国,月刊
Arch Immunol Ther Ex,Archivum Immunologiae et Therapiae Experimentalis,Q3,37,波兰,双月刊
J Korean Math Soc,Journal of the Korean Mathematical Society,Q3/Q4,83,韩国,双月刊
Environ Microbiol,Environmental Microbiology,Q1,324,英国,月刊
Acta Carsologica,Acta Carsologica,Q4,20,斯洛文尼亚,三年刊
Math Financ,Mathematical Finance,Q1/Q2,35,美国,季刊
Can Hist Rev,Canadian Historical Review,Q1,31,,
Curr Alzheimer Res,Current Alzheimer Research,Q2/Q3,111,荷兰,双月刊
Obes Surg,Obesity Surgery,Q1,519,加拿大,月刊
Glass Ceram+,Glass and Ceramics,Q4,95,俄国,双月刊
Diabetes Metab,Diabetes & Metabolism,Q1,64,法国,双月刊
Process Saf Prog,Process Safety Progress,Q4,63,美国,季刊
Rev Anal Chem,Reviews in Analytical Chemistry,Q3,4,英国,季刊
Eur J Oral Sci,European Journal of Oral Sciences,Q2,55,丹麦,双月刊
Cult Stud,Cultural Studies,Q2,45,,
Health Care Women in,Health Care for Women International,Q3/Q4,71,,
PLoS Med,PLoS Medicine,Q1,249,美国,月刊
Educ Rev,Educational Review,Q2,44,,
Pers Ubiquit Comput,Personal and Ubiquitous Computing,Q3,70,英国,双月刊
Andrology-US,Andrology,Q1,99,美国,
Biology-Basel,Biology-Basel,Q1,88,,
Wind Energy,Wind Energy,Q2/Q3,125,英国,季刊
Fetal Pediatr Pathol,Fetal and Pediatric Pathology,Q4,63,美国,双月刊
Chem-Eur J,Chemistry-A European Journal,Q1,1839,德国,双月刊
Can J Cardiol,Canadian Journal of Cardiology,Q1,167,加拿大,月刊
Folia Microbiol,Folia Microbiologica,Q4,92,捷克共和国,双月刊
J Cryst Growth,Journal of Crystal Growth,Q3,473,荷兰,双周刊
J Vac Sci Technol B,Journal of Vacuum Science & Technology B,Q3/Q4,137,美国,双月刊
Int Rev Econ Financ,International Review of Economics & Finance,Q2,170,,
Sci Commun,Science Communication,Q2,29,,
J Soil Sci Plant Nut,Journal of Soil Science and Plant Nutrition,Q2/Q3,92,智利,
J Early Mod Hist,Journal of Early Modern History,Q2,20,,
Radiat Meas,Radiation Measurements,Q2,153,英国,双月刊
IEEE Internet Comput,IEEE Internet Computing,Q1,38,美国,双月刊
IEEE Intell Syst,IEEE Intelligent Systems,Q2,32,美国,双月刊
Microelectron Reliab,Microelectronics Reliability,Q3/Q4,316,英国,月刊
Int Sociol,International Sociology,Q3,42,,
J Genet Genomics,Journal of Genetics and Genomics,Q1,43,中国,月刊
Otolaryng Head Neck,Otolaryngology-Head and Neck Surgery,Q2,288,美国,月刊
J Lang Soc Psychol,Journal of Language and Social Psychology,Q2/Q4,40,,
Mayo Clin Proc,Mayo Clinic Proceedings,Q1,190,美国,月刊
Ann Cardiothorac Sur,Annals of Cardiothoracic Surgery,Q1/Q2,71,,
Pediatr Pulm,Pediatric Pulmonology,Q2/Q3,250,美国,月刊
Displays,Displays,Q3,34,NETHERLANDS,双月刊
Leadership Quart,Leadership Quarterly,Q1,41,,
Rev Netw Econ,Review of Network Economics,Q4,0,,
Transport Rev,Transport Reviews,Q1,31,,
J Econ Manage Strat,Journal of Economics & Management Strategy,Q2/Q4,44,,
Anti-Corros Method M,Anti-Corrosion Methods and Materials,Q3,99,英国,双月刊
Ambio,Ambio,Q1/Q2,120,挪威,双月刊
Aust Fam Physician,Australian Family Physician,Q3/Q4,0,澳大利亚,月刊
Adv Nonlinear Stud,Advanced Nonlinear Studies,Q1/Q2,38,美国,季刊
Environ Sci Tech Let,Environmental Science & Technology Letters,Q1,121,美国,
J Bioethic Inq,Journal of Bioethical Inquiry,Q2/Q3,52,新西兰,三年刊
Cytokine,Cytokine,Q3,287,英国,月刊
Tydskr Geesteswet,Tydskrif Vir Geesteswetenskappe,Q4,38,,
J Comput Inform Syst,Journal of Computer Information Systems,Q3,39,美国,季刊
Chem Spec Bioavailab,Chemical Speciation and Bioavailability,Q3,0,英国,季刊
Curr Appl Phys,Current Applied Physics,Q2/Q3,218,荷兰,双月刊
J Psychosoc Nurs Men,Journal of Psychosocial Nursing and Mental Health Services,Q4,72,美国,月刊
Stud Confl Terror,Studies in Conflict & Terrorism,Q2,50,,
Adv Atom Mol Opt Phy,Advances in Atomic Molecular and Optical Physics,Q1,3,美国,年刊
Herzogia,Herzogia,Q4,38,德国,
Micro Nano Lett,Micro & Nano Letters,Q4,289,英国,季刊
Anim Behav,Animal Behaviour,Q1/Q2,252,英国,月刊
Int J Psychol Res,International Journal of Psychological Research,Q4,15,,
J Econ Educ,Journal of Economic Education,Q3,32,,
J Chem Eng Jpn,Journal of Chemical Engineering of Japan,Q4,111,日本,月刊
J Neural Transm,Journal of Neural Transmission,Q2,144,奥地利,月刊
J Oral Facial Pain H,Journal of Oral & Facial Pain and Headache,Q4,50,美国,
Int Soil Water Conse,International Soil and Water Conservation Research,Q1/Q2,39,,
Transport Res B-Meth,Transportation Research Part B-Methodological,Q1,174,英国,月刊
Indian J Agr Sci,Indian Journal of Agricultural Sciences,Q4,356,印度,月刊
Discourse Commun,Discourse & Communication,Q3,28,,
J Nephrol,Journal of Nephrology,Q1,97,意大利,双月刊
Candollea,Candollea,Q4,21,瑞士,半年刊
npj Regen Med,npj Regenerative Medicine,Q1,22,,
Int J Primatol,International Journal of Primatology,Q1,37,美国,双月刊
Libr Hi Tech,Library Hi Tech,Q3,59,,
Comp Stud Soc Hist,Comparative Studies in Society and History,Q1/Q3/Q4,33,,
Defence Sci J,Defence Science Journal,Q4,90,印度,双月刊
J Infrared Millim Te,Journal of Infrared Millimeter and Terahertz Waves,Q3,91,美国,月刊
Carbohyd Polym,Carbohydrate Polymers,Q1,1208,英国,双月刊
New Astron,New Astronomy,Q4,76,荷兰,双月刊
Telopea,Telopea,Q4,4,澳大利亚,半年刊
Int J Multiphas Flow,International Journal of Multiphase Flow,Q1,247,英国,月刊
Appl Neuropsych-Adul,Applied Neuropsychology-Adult,Q3/Q4,58,美国,
J Inequal Appl,Journal of Inequalities and Applications,Q1/Q2,314,美国,
Pharmacotherapy,Pharmacotherapy,Q2,109,美国,月刊
Genes-Basel,Genes,Q2,1029,瑞士,
IEEE Electr Insul M,IEEE Electrical Insulation Magazine,Q2,23,美国,双月刊
Econ Soc Rev,Economic and Social Review,Q4,31,,
Riv Ital Paleontol S,Rivista Italiana Di Paleontologia E Stratigrafia,Q1/Q2,40,意大利,三年刊
J Comb Theory A,Journal of Combinatorial Theory Series A,Q2,132,美国,双月刊
Micropaleontology,Micropaleontology,Q3,24,美国,双月刊
Aquat Ecol,Aquatic Ecology,Q3,53,荷兰,季刊
Rev Med Virol,Reviews in Medical Virology,Q1,51,英国,季刊
Polit Sci Res Meth,Political Science Research and Methods,Q2,53,,
Adv Heterocycl Chem,Advances in Heterocyclic Chemistry,Q1,16,美国,年刊
JAMA-J Am Med Assoc,JAMA-Journal of the American Medical Association,Q1,200,美国,周刊
Int J Numer Method H,International Journal of Numerical Methods for Heat & Fluid Flow,Q1/Q2,296,威尔士,双月刊
Int J Endocrinol,International Journal of Endocrinology,Q3,132,美国,
J Appl Anim Res,Journal of Applied Animal Research,Q3,81,印度,季刊
Colloid Surface A,Colloids and Surfaces A-Physicochemical and Engineering Aspects,Q2,1083,荷兰,双月刊
Agr Ecosyst Environ,Agriculture Ecosystems & Environment,Q1,281,荷兰,双月刊
Alcohol Clin Exp Res,Alcoholism-Clinical and Experimental Research,Q2,220,美国,月刊
J Plan Educ Res,Journal of Planning Education and Research,Q1,31,,
Earth Planets Space,Earth Planets and Space,Q3,128,德国,
Rev Educ-Madrid,Revista de Educacion,Q4,34,,
Surg Infect,Surgical Infections,Q2/Q3,88,美国,
Phys Occup Ther Pedi,Physical & Occupational Therapy in Pediatrics,Q2/Q3,48,美国,
Neurosurgery,Neurosurgery,Q1,378,美国,月刊
Neurosurgery,JALS-Journal of the Society of Laparoendoscopic Surgeons,Q3,378,美国,季刊
J Chin Inst Eng,Journal of the Chinese Institute of Engineers,Q4,80,中国台湾,双月刊
Nucl Sci Tech,Nuclear Science and Techniques,Q2/Q3,191,中国,双月刊
J Behav Decis Making,Journal of Behavioral Decision Making,Q3,44,,
Dis Colon Rectum,Diseases of the Colon & Rectum,Q1/Q2,164,UNITED STATES,月刊
Learn Cult Soc Inter,Learning Culture and Social Interaction,Q3,82,,
Gut Liver,Gut and Liver,Q3,70,韩国,三年刊
Novon,Novon,Q4,32,美国,季刊
Cognitive Sci,Cognitive Science,Q2,82,,
Compel,Compel-the International Journal for Computation and Mathematics in Electrical and Electronic Engineering,Q4,139,英国,季刊
Digit Commun Netw,Digital Communications and Networks,Q1,36,,
Int Orthop,International Orthopaedics,Q1,334,美国,双月刊
J Polit Econ,Journal of Political Economy,Q1,69,,
Hist Philos Logic,History and Philosophy of Logic,Q4,19,英国,半年刊
Manuscripta Math,Manuscripta Mathematica,Q3,78,德国,月刊
Genome Med,Genome Medicine,Q1,70,英国,
Nano Energy,Nano Energy,Q1,1027,美国,
Acta Histriae,Acta Histriae,Q2,35,,
IEEE T Multimedia,IEEE Transactions on Multimedia,Q1,247,美国,季刊
BMC Oral Health,BMC Oral Health,Q2,293,英国,
Isr J Math,Israel Journal of Mathematics,Q2,153,以色列,双月刊
Curr Opin Microbiol,Current Opinion in Microbiology,Q1,72,英国,双月刊
Eat Weight Disord-St,Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,Q2,126,意大利,季刊
Nonlinear Anal-Theor,Nonlinear Analysis-Theory Methods & Applications,Q1/Q2,227,英国,双月刊
Aust J Gen Pract,Australian Journal of General Practice,Q4,115,,
Surg Innov,Surgical Innovation,Q3,91,美国,季刊
Arab J Geosci,Arabian Journal of Geosciences,Q4,788,沙特阿拉伯,季刊
Noise Control Eng J,Noise Control Engineering Journal,Q4,43,美国,双月刊
Fluid Phase Equilibr,Fluid Phase Equilibria,Q2/Q3,332,荷兰,双月刊
Int J Vent,International Journal of Ventilation,Q4,19,英国,
Anim Cogn,Animal Cognition,Q1/Q2,97,德国,季刊
Clin Neurophysiol,Clinical Neurophysiology,Q2,224,爱尔兰,月刊
P Est Acad Sci,Proceedings of the Estonian Academy of Sciences,Q3,48,爱沙尼亚,季刊
Adv Child Dev Behav,Advances in Child Development and Behavior,Q3,17,,
IEEE Des Test,IEEE Design & Test,Q2,40,美国,
Clay Clay Miner,Clays and Clay Minerals,Q3/Q4,32,美国,双月刊
Mechanika,Mechanika,Q4,64,立陶宛,双月刊
Phys Wave Phenom,Physics of Wave Phenomena,Q4,50,,
Diagn Micr Infec Dis,Diagnostic Microbiology and Infectious Disease,Q3,235,美国,月刊
J Geotech Geoenviron,Journal of Geotechnical and Geoenvironmental Engineering,Q2,169,美国,月刊
Brief Funct Genomics,Briefings in Functional Genomics,Q2,40,英国,双月刊
Comp Eur Polit,Comparative European Politics,Q3,50,,
J Pediatr Adol Gynec,Journal of Pediatric and Adolescent Gynecology,Q3,117,美国,双月刊
Ecol Inform,Ecological Informatics,Q2,97,荷兰,季刊
J Knowl Manag,Journal of Knowledge Management,Q1,94,,
Biomarkers,Biomarkers,Q3/Q4,95,美国,双月刊
Sensor Actuat A-Phys,Sensors and Actuators A-Physical,Q2,565,瑞士,月刊
Eur Phys J C,European Physical Journal C,Q1,1018,德国,双月刊
Anu Psicol Jurid,Anuario de Psicologia Juridica,Q3/Q4,12,,
Res Aging,Research on Aging,Q2,41,,
Robotica,Robotica,Q3,119,英国,双月刊
Arq Neuro-Psiquiat,Arquivos de Neuro-Psiquiatria,Q4,118,巴西,季刊
Mil Oper Res,Military Operations Research,Q4,16,美国,季刊
Engl World-Wide,English World-Wide,Q3,12,,
Econ Hist Rev,Economic History Review,Q1/Q3,52,,
J Photoch Photobio B,Journal of Photochemistry and Photobiology B-Biology,Q1/Q2,238,瑞士,月刊
J Comput Sci Tech-Ch,Journal of Computer Science and Technology,Q3,83,中国,双月刊
J Anat,Journal of Anatomy,Q2,157,英国,月刊
J Endocrinol,Journal of Endocrinology,Q2,131,英国,月刊
Eur J Dev Psychol,European Journal of Developmental Psychology,Q2,43,,
Probus,Probus,Q3,11,,
Comput Ind,Computers in Industry,Q1,124,荷兰,双月刊
Ther Adv Gastroenter,Therapeutic Advances in Gastroenterology,Q2,93,英国,
Am J Cardiol,American Journal of Cardiology,Q2,589,美国,双月刊
BMC Geriatr,BMC Geriatrics,Q1/Q2,378,英国,
J Plant Growth Regul,Journal of Plant Growth Regulation,Q2,129,美国,季刊
Rev Int Organ,Review of International Organizations,Q1,23,,
J Adolesc Young Adul,Journal of Adolescent and Young Adult Oncology,Q4,71,美国,
J Int Manag,Journal of International Management,Q2,34,,
Journalism,Journalism,Q1,137,,
Regen Biomater,Regenerative Biomaterials,Q2,36,,
J Clin Neurosci,Journal of Clinical Neuroscience,Q3/Q4,636,苏格兰,月刊
J Appl Meteorol Clim,Journal of Applied Meteorology and Climatology,Q2,156,美国,月刊
Cytogenet Genome Res,Cytogenetic and Genome Research,Q4,68,瑞士,双月刊
Prog Mol Biol Transl,Progress in Molecular Biology and Translational Science,Q2,111,美国,
Folia Primatol,Folia Primatologica,Q3,28,瑞士,双月刊
Ophthalmology,Ophthalmology,Q1,163,美国,月刊
Chinese J Aeronaut,Chinese Journal of Aeronautics,Q1,224,中国,双月刊
J Abnorm Child Psych,Journal of Abnormal Child Psychology,Q1/Q2,152,,
Ther Adv Hematol,Therapeutic Advances in Hematology,Q2,34,,
Near Surf Geophys,Near Surface Geophysics,Q4,37,荷兰,双月刊
Austral Ecol,Austral Ecology,Q3,127,澳大利亚,双月刊
Front Med-Prc,Frontiers of Medicine,Q2,70,中国,
Complex Var Elliptic,Complex Variables and Elliptic Equations,Q3,151,英国,
Theor Popul Biol,Theoretical Population Biology,Q3/Q4,57,美国,双月刊
J Bus Econ Manag,Journal of Business Economics and Management,Q2/Q4,62,,
Mech Adv Mater Struc,Mechanics of Advanced Materials and Structures,Q1/Q2,196,英国,双月刊
Public Opin Quart,Public Opinion Quarterly,Q1,31,,
Account Res,Accountability in Research-Policies and Quality Assurance,Q2,22,美国,三年刊
J Pharmacol Exp Ther,Journal of Pharmacology and Experimental Therapeutics,Q2,253,美国,月刊
Eur J Int Relat,European Journal of International Relations,Q1,49,,
Hem Ind,Hemijska Industrija,Q4,31,塞尔维亚,月刊
J East Afr Stud,Journal of Eastern African Studies,Q2,40,,
J Appl Physiol,Journal of Applied Physiology,Q1/Q2,352,美国,月刊
BMC Bioinformatics,BMC Bioinformatics,Q1/Q2,748,英国,月刊
Iheringia Ser Zool,Iheringia Serie Zoologia,Q4,33,巴西,半年刊
Chem Ecol,Chemistry and Ecology,Q3/Q4,61,英国,双月刊
Rev Physiol Bioch P,Reviews of Physiology Biochemistry and Pharmacology,Q1,4,德国,年刊
Fortschr Phys,Fortschritte Der Physik-Progress of Physics,Q1,68,德国,双月刊
J Micropalaeontol,Journal of Micropalaeontology,Q4,12,英国,半年刊
J Leadersh Org Stud,Journal of Leadership & Organizational Studies,Q3,35,,
J Marital Fam Ther,Journal of Marital and Family Therapy,Q2/Q3,48,,
Chinese Chem Lett,Chinese Chemical Letters,Q2,466,中国,月刊
Electromagnetics,Electromagnetics,Q4,44,美国,双月刊
J Rural Stud,Journal of Rural Studies,Q1,165,,
Int J Numer Meth Eng,International Journal for Numerical Methods in Engineering,Q1/Q2,212,英国,周刊
Violence Victims,Violence and Victims,Q4,56,,
Appl Ontol,Applied Ontology,Q3/Q4,14,荷兰,
Scand J Lab Anim Sci,Scandinavian Journal of Laboratory Animal Science,Q4,4,丹麦,季刊
J Porphyr Phthalocya,Journal of Porphyrins and Phthalocyanines,Q3,151,法国,月刊
Sociol Inq,Sociological Inquiry,Q3,27,,
Contrib Nephrol,Contributions to Nephrology,Q4,32,瑞士,三年刊
Macromol Res,Macromolecular Research,Q2,159,韩国,双月刊
Nano Converg,Nano Convergence,Q2/Q3,39,,
Educ Manag Adm Lead,Educational Management Administration & Leadership,Q1,55,,
Manuf Eng,Manufacturing Engineering,Q4,79,美国,月刊
J Carbohyd Chem,Journal of Carbohydrate Chemistry,Q4,26,美国,月刊
Clin Lab,Clinical Laboratory,Q4,293,德国,双月刊
Ann Appl Probab,Annals of Applied Probability,Q2,96,美国,季刊
Math Res Lett,Mathematical Research Letters,Q4,60,美国,季刊
Intern Med J,Internal Medicine Journal,Q3,212,澳大利亚,月刊
Int J Forest Eng,International Journal of Forest Engineering,Q3,24,,
Ref User Serv Q,Reference & User Services Quarterly,Q4,20,,
Braz J Oceanogr,Brazilian Journal of Oceanography,Q4,15,巴西,季刊
J Am Med Inform Assn,Journal of the American Medical Informatics Association,Q1,186,美国,双月刊
N Am J Aquacult,North American Journal of Aquaculture,Q4,44,美国,季刊
J Palliat Care,Journal of Palliative Care,Q3/Q4,31,加拿大,季刊
Mod Asian Stud,Modern Asian Studies,Q3,52,,
J Evol Econ,Journal of Evolutionary Economics,Q2,53,,
Med Ultrason,Medical Ultrasonography,Q3/Q4,71,罗马尼亚,
Plant Pathol,Plant Pathology,Q1/Q2,163,英国,季刊
Semicond Sci Tech,Semiconductor Science and Technology,Q2/Q3,338,英国,月刊
Public Money Manage,Public Money & Management,Q3,71,,
Annu Rev Linguist,Annual Review of Linguistics,Q1,22,,
Braz J Infect Dis,Brazilian Journal of Infectious Diseases,Q4,65,巴西,双月刊
Biomolecules,Biomolecules,Q2,884,,
B Geol Soc Denmark,Bulletin of the Geological Society of Denmark,Q4,7,丹麦,
Limnol Oceanogr-Meth,Limnology and Oceanography-Methods,Q1/Q2,44,美国,月刊
Int J Ind Eng-Theory,International Journal of Industrial Engineering-Theory Applications and Practice,Q4,56,美国,
Res High Educ,Research in Higher Education,Q2,48,,
Foreign Lang Ann,Foreign Language Annals,Q1/Q2,40,,
J Urban Econ,Journal of Urban Economics,Q1/Q2,40,,
Terr Atmos Ocean Sci,Terrestrial Atmospheric and Oceanic Sciences,Q4,51,中国台湾,季刊
J Comput Theor Trans,Journal of Computational and Theoretical Transport,Q4,11,,
Chiang Mai J Sci,Chiang Mai Journal of Science,Q4,101,泰国,三年刊
Molluscan Res,Molluscan Research,Q3,37,澳大利亚,三年刊
J Neurosurg Sci,Journal of Neurosurgical Sciences,Q3/Q4,74,意大利,季刊
Comp Polit Stud,Comparative Political Studies,Q1,68,,
Sex Roles,Sex Roles,Q1/Q2,108,,
Mutat Res-Fund Mol M,Mutation Research-Fundamental and Molecular Mechanisms of Mutagenesis,Q3,21,荷兰,月刊
Focus Autism Dev Dis,Focus on Autism and Other Developmental Disabilities,Q2/Q3,24,,
J Therm Biol,Journal of Thermal Biology,Q1/Q2,232,英国,双月刊
Epigenet Chromatin,Epigenetics & Chromatin,Q1,79,英国,
Brit J Math Stat Psy,British Journal of Mathematical & Statistical Psychology,Q1/Q2,25,英国,半年刊
Ps-Polit Sci Polit,Ps-Political Science & Politics,Q2,61,,
Diabetes,Diabetes,Q1,209,美国,月刊
Comput Educ,Computers & Education,Q1,198,英国,双月刊
Rhetor Soc Q,Rhetoric Society Quarterly,Q4,19,,
Org Chem Front,Organic Chemistry Frontiers,Q1,528,中国,
Eur J Ageing,European Journal of Ageing,Q2,44,,
Aquacult Rep,Aquaculture Reports,Q2,60,,
J Forest,Journal of Forestry,Q1,49,美国,双月刊
Rev Mex Psicol,Revista Mexicana de Psicologia,Q4,14,,
J Orthop Surg-Hong K,Journal of Orthopaedic Surgery,Q4,231,,
Neurosci Lett,Neuroscience Letters,Q3,676,荷兰,周刊
Forensic Sci Int,Forensic Science International,Q1,454,爱尔兰,月刊
IEEE T Power Syst,IEEE Transactions on Power Systems,Q1,504,美国,季刊
Soc Anthropol,Social Anthropology,Q2,40,,
J Econ Ageing,Journal of the Economics of Ageing,Q2/Q3,29,,
Curr Opin Infect Dis,Current Opinion in Infectious Diseases,Q1,88,美国,双月刊
Harvard Bus Rev,Harvard Business Review,Q1,84,,
Health Inform J,Health Informatics Journal,Q2,135,英国,季刊
Ann Am Thorac Soc,Annals of the American Thoracic Society,Q1,132,,
J Altern Complem Med,Journal of Alternative and Complementary Medicine,Q2,112,美国,双月刊
J Appl Gerontol,Journal of Applied Gerontology,Q2,87,,
J Libr Inf Sci,Journal of Librarianship and Information Science,Q3,87,,
