Journal,IF(2021)
Annual Review of Pathology-Mechanisms of Disease,32.35
Nature Reviews Rheumatology,32.286
ADVANCED MATERIALS,32.086
GUT,31.793
Cell Metabolism,31.373
Cell Host & Microbe,31.316
PROGRESS IN POLYMER SCIENCE,31.281
NATURE IMMUNOLOGY,31.25
Nature Microbiology,30.964
Science Immunology,30.63
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,30.528
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,30.51
JAMA Cardiology,30.154
Lancet Haematology,30.153
JOURNAL OF HEPATOLOGY,30.083
JAMA Neurology,29.907
Advanced Energy Materials,29.698
Nature Biomedical Engineering,29.234
RADIOLOGY,29.146
MMWR Surveillance Summaries,29.095
NATURE NEUROSCIENCE,28.771
Lancet Planetary Health,28.75
Living Reviews in Solar Physics,28.7
Nature Climate Change,28.66
Annual Review of Plant Biology,28.31
NATURE CELL BIOLOGY,28.213
ANNALS OF THE RHEUMATIC DISEASES,27.973
Annual Review of Psychology,27.782
Science Robotics,27.541
Annual Review of Biochemistry,27.258
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,27.203
Nature Sustainability,27.157
Dialogues in Human Geography,27
Materials Today,26.943
JAMA Pediatrics,26.796
JAMA Psychiatry,25.911
Nature Machine Intelligence,25.898
Chem,25.832
STUDIES IN MYCOLOGY,25.731
PSYCHOTHERAPY AND PSYCHOSOMATICS,25.617
BLOOD,25.476
Annual Review of Fluid Mechanics,25.293
Cell Stem Cell,25.269
ENDOCRINE REVIEWS,25.261
REVIEWS OF GEOPHYSICS,24.946
FUNGAL DIVERSITY,24.902
International Journal of Oral Science,24.897
COORDINATION CHEMISTRY REVIEWS,24.833
InfoMat,24.798
Advances in Optics and Photonics,24.75
TRENDS IN COGNITIVE SCIENCES,24.482
ACCOUNTS OF CHEMICAL RESEARCH,24.466
APPLIED CATALYSIS B-ENVIRONMENTAL,24.319
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,24.314
Nature Chemistry,24.274
EUROPEAN UROLOGY,24.267
Nature Human Behaviour,24.252
ACS Energy Letters,23.991
Annual Review of Condensed Matter Physics,23.978
ADVANCES IN PHYSICS,23.75
Nano-Micro Letters,23.655
CIRCULATION RESEARCH,23.213
National Science Review,23.178
Nature Cancer,23.177
Journal of Hematology & Oncology,23.168
PSYCHOLOGICAL BULLETIN,23.027
DRUG RESISTANCE UPDATES,22.841
Annual Review of Entomology,22.682
Trends in Chemistry,22.448
Annual Review of Physiology,22.163
Annual Review of Clinical Psychology,22.098
Cellular & Molecular Immunology,22.096
TRENDS IN PLANT SCIENCE,22.012
Molecular Plant,21.949
TRENDS IN BIOTECHNOLOGY,21.942
Annual Review of Public Health,21.87
Carbon Energy,21.556
Nature Geoscience,21.531
BEHAVIORAL AND BRAIN SCIENCES,21.357
Eurosurveillance,21.286
TRENDS IN CELL BIOLOGY,21.167
CLINICAL INFECTIOUS DISEASES,20.999
Energy Storage Materials,20.831
JOURNAL OF MEDICAL VIROLOGY,20.693
TRENDS IN ECOLOGY & EVOLUTION,20.589
Science Bulletin,20.577
Travel Medicine and Infectious Disease,20.441
Nature Food,20.43
Light-Science & Applications,20.257
Journal of Thoracic Oncology,20.121
Matter,19.967
ADVANCED FUNCTIONAL MATERIALS,19.924
Nature Metabolism,19.865
PhotoniX,19.818
Annual Review of Biophysics,19.763
TRENDS IN IMMUNOLOGY,19.709
PROGRESS IN RETINAL AND EYE RESEARCH,19.704
Nature Physics,19.684
Emerging Microbes & Infections,19.568
Applied Physics Reviews,19.527
JOURNAL OF CLINICAL INVESTIGATION,19.456
CRITICAL CARE,19.334
MOLECULAR CELL,19.328
Science Translational Medicine,19.319
AMERICAN JOURNAL OF PSYCHIATRY,19.242
Academy of Management Annals,19.241
BRAIN BEHAVIOR AND IMMUNITY,19.227
Trends in Cancer,19.161
NUCLEIC ACIDS RESEARCH,19.16
IEEE Transactions on Cybernetics,19.118
ACM Transactions on Storage,1.229
Diving and Hyperbaric Medicine,1.228
General Thoracic and Cardiovascular Surgery,1.227
ANIMAL BIOLOGY,1.227
INTERNATIONAL INTERACTIONS,1.226
Holistic Nursing Practice,1.226
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,1.226
Iranian Journal of Veterinary Research,1.226
EAST EUROPEAN POLITICS AND SOCIETIES,1.225
Electronic Journal of Statistics,1.225
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,1.225
AUSTRALIAN JOURNAL OF CHEMISTRY,1.224
ICHTHYOLOGICAL RESEARCH,1.223
Seminars in Vascular Surgery,1.222
Wound Management & Prevention,1.222
JOURNAL OF APPLIED ICHTHYOLOGY,1.222
Biodemography and Social Biology,1.222
Interpreter and Translator Trainer,1.222
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,1.222
Law & Policy,1.222
AERONAUTICAL JOURNAL,1.222
Journal of Arthropod-Borne Diseases,1.221
Miskolc Mathematical Notes,1.22
Revista Brasileira de Engenharia Agricola e Ambiental,1.22
URSUS,1.219
Review of Keynesian Economics,1.219
Mathematics and Financial Economics,1.219
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,1.218
Pediatric Endocrinology Reviews PER,1.218
JOURNAL OF SHELLFISH RESEARCH,1.218
JOURNAL OF GENERAL PLANT PATHOLOGY,1.217
Advances in Cognitive Psychology,1.217
Iranian Journal of Parasitology,1.217
Revista de Educacion,1.217
Cancer Radiotherapie,1.217
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,1.217
European Journal of Industrial Engineering,1.217
CRYPTOGAMIE ALGOLOGIE,1.217
Review of Symbolic Logic,1.217
Ensenanza de Las Ciencias,1.217
Journal of Sexual Aggression,1.217
Ginekologia Polska,1.216
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,1.216
Brazilian Journal of Pharmaceutical Sciences,1.214
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,1.214
Phonology,1.214
Hepatitis Monthly,1.214
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,1.213
International Journal of Psychological Research,1.212
CONTEMPORARY ECONOMIC POLICY,1.212
ARCTIC ANTHROPOLOGY,1.211
COMBINATORICS PROBABILITY & COMPUTING,1.211
Australian Journal of Forensic Sciences,1.21
Random Matrices-Theory and Applications,1.209
CHELONIAN CONSERVATION AND BIOLOGY,1.209
Journal of Rubber Research,1.208
Nordic Psychology,1.208
Journal of Contemporary European Studies,1.208
JOURNAL OF TIME SERIES ANALYSIS,1.208
Iranian Journal of Immunology,1.206
Australian Journal of Advanced Nursing,1.206
Erwerbs-Obstbau,1.206
JOURNAL OF SCHOLARLY PUBLISHING,1.206
Early Child Development and Care,1.206
CELLULAR AND MOLECULAR BIOLOGY,1.206
INTERNATIONAL JOURNAL OF ACAROLOGY,1.205
ACTA ZOOLOGICA,1.205
Austral Entomology,1.205
TECHNOLOGY AND HEALTH CARE,1.205
China Perspectives,1.204
Journal of Bioinformatics and Computational Biology,1.204
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1.204
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,1.204
International Finance,1.204
ELECTRONICS LETTERS,1.202
Gravitation & Cosmology,1.202
JOURNAL OF ETHOLOGY,1.202
AMERICAN JOURNAL OF MEDICAL QUALITY,1.2
East Asian Science Technology and Society-An International Journal,1.2
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,1.2
Journal of Forensic Nursing,1.2
HEC Forum,1.2
GESUNDHEITSWESEN,1.199
MATHEMATISCHE NACHRICHTEN,1.199
International Journal of Aerospace Engineering,1.198
CENTAURUS,1.198
HAUTARZT,1.198
RAFFLES BULLETIN OF ZOOLOGY,1.198
RBGN-Revista Brasileira de Gestao de Negocios,1.198
MAMMALIA,1.197
Banach Journal of Mathematical Analysis,1.197
ARDEA,1.196
PHILOSOPHICAL MAGAZINE LETTERS,1.195
FOLIA MORPHOLOGICA,1.195
HERPETOLOGICAL JOURNAL,1.194
JOURNAL FRANCAIS D OPHTALMOLOGIE,1.194
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,1.194
QUANTUM ELECTRONICS,1.194
NURSING ECONOMICS,1.193
JOURNAL OF SOCIAL SERVICE RESEARCH,1.193
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,1.193
HORTICULTURAL SCIENCE,1.192
INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,1.191
High Energy Density Physics,1.19
EDUCATION AND URBAN SOCIETY,1.19
History of the Family,1.19
JOURNAL OF EDUCATIONAL MEASUREMENT,1.188
JOURNAL OF ADOLESCENT & ADULT LITERACY,1.188
SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS,1.188
COMPOST SCIENCE & UTILIZATION,1.188
Ethics & International Affairs,1.186
VERHALTENSTHERAPIE,1.186
WISCONSIN LAW REVIEW,1.185
ANTHROPOLOGICAL SCIENCE,1.185
Advances in Applied Clifford Algebras,1.185
ACTA BIOTHEORETICA,1.185
Acta Crystallographica Section C-Structural Chemistry,1.184
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,1.184
SOCIAL BEHAVIOR AND PERSONALITY,1.183
Comparative Cytogenetics,1.182
Milan Journal of Mathematics,1.182
Structural Engineering International,1.182
Advances in Anatomy Embryology and Cell Biology,1.182
VITIS,1.182
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,1.182
ANNALS OF CLINICAL AND LABORATORY SCIENCE,1.18
ARCHIVES OF MECHANICS,1.18
EUROPE-ASIA STUDIES,1.18
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1.18
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,1.18
GLOBAL GOVERNANCE,1.18
NEW GENERATION COMPUTING,1.18
JOURNAL OF SOCIAL WORK PRACTICE,1.179
Journal of Ocean University of China,1.179
British Journal of Music Education,1.179
Journal of Nanophotonics,1.179
LINEAR & MULTILINEAR ALGEBRA,1.178
BRYOLOGIST,1.177
AUSTRALIAN MAMMALOGY,1.177
HELMINTHOLOGIA,1.176
Journal of Competition Law & Economics,1.176
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,1.174
Statistical Methods and Applications,1.174
JOURNAL OF AFRICAN ECONOMIES,1.174
OPHTHALMOLOGE,1.174
RETHINKING HISTORY,1.173
Biomedica,1.173
OPEN ECONOMIES REVIEW,1.173
ASTRONOMY REPORTS,1.172
Selecta Mathematica-New Series,1.172
Argumentation,1.172
JOURNAL OF CRANIOFACIAL SURGERY,1.172
AUSTRALIAN FEMINIST STUDIES,1.17
State Politics & Policy Quarterly,1.17
International Journal of Law in Context,1.17
Computer Science and Information Systems,1.17
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,1.17
CURRENT SCIENCE,1.169
Nutricion Hospitalaria,1.169
International Food Research Journal,1.169
INFORMS Journal on Applied Analytics,1.169
Evolution Equations and Control Theory,1.169
EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,1.168
BIRD STUDY,1.168
CULTURE & PSYCHOLOGY,1.168
OCEANIA,1.167
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,1.167
INVERTEBRATE REPRODUCTION & DEVELOPMENT,1.167
Journal of Micro-Nanolithography MEMS and MOEMS,1.167
Celebrity Studies,1.167
FORESTRY CHRONICLE,1.167
FOLIA BIOLOGICA,1.167
Archives of Disease in Childhood-Education and Practice Edition,1.167
LINGUISTICS AND PHILOSOPHY,1.167
Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,1.167
FUNDAMENTA INFORMATICAE,1.166
RICERCHE DI MATEMATICA,1.166
PEDIATRIC NEUROSURGERY,1.165
Zeitschrift fur Erziehungswissenschaft,1.165
Journal of Disability Policy Studies,1.164
JAVNOST-THE PUBLIC,1.164
International Politics,1.164
International Journal of Music Education,1.163
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,1.163
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,1.162
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,1.16
AMERICAN JOURNAL OF FAMILY THERAPY,1.159
Gastroenterology Nursing,1.159
Science China-Mathematics,1.157
English Today,1.156
SURVEY REVIEW,1.156
Integrative Psychological and Behavioral Science,1.156
FORDHAM LAW REVIEW,1.156
NATURAL LANGUAGE & LINGUISTIC THEORY,1.156
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1.155
Computational Methods and Function Theory,1.155
Revista Espanola de Derecho Constitucional,1.155
JOURNAL OF VETERINARY DENTISTRY,1.154
Central European Journal of Public Health,1.154
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,1.154
JOURNAL OF BIOMEDICAL INFORMATICS,8
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,7.996
Translational Psychiatry,7.989
CAAI Transactions on Intelligence Technology,7.985
Journal of Environmental Chemical Engineering,7.968
American Economic Journal-Applied Economics,7.966
SURVEYS IN GEOPHYSICS,7.965
Current Opinion in Environmental Sustainability,7.964
Implementation Science,7.96
PLANT CELL AND ENVIRONMENT,7.947
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,7.942
Journal of Tissue Engineering,7.94
PAIN,7.926
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,7.926
Nanophotonics,7.923
Cancer Nanotechnology,7.917
Annual Review of Statistics and Its Application,7.917
JOURNAL OF FINANCE,7.915
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,7.914
Reviews of Environmental Contamination and Toxicology,7.9
Biomedical Journal,7.892
SEPARATION AND PURIFICATION REVIEWS,7.889
Journal of Business Logistics,7.875
Epilepsy Currents,7.872
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,7.867
ADVANCED ENGINEERING INFORMATICS,7.862
IEEE-CAA Journal of Automatica Sinica,7.847
ACADEMIC MEDICINE,7.84
REVIEW OF ECONOMIC STUDIES,7.833
Review of International Organizations,7.833
Agronomy for Sustainable Development,7.832
Cell Reports Physical Science,7.832
JOURNAL OF ADOLESCENT HEALTH,7.83
LONG RANGE PLANNING,7.825
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,7.821
Epidemiology and Psychiatric Sciences,7.818
STRATEGIC MANAGEMENT JOURNAL,7.815
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,7.802
Journal of the American Medical Directors Association,7.802
mBio,7.786
CURRENT OPINION IN STRUCTURAL BIOLOGY,7.786
Soft Robotics,7.784
Inorganic Chemistry Frontiers,7.779
COMPUTATIONAL LINGUISTICS,7.778
HISTOPATHOLOGY,7.778
Journal of Behavioral Addictions,7.772
INFORMATION SYSTEMS JOURNAL,7.767
Weather and Climate Extremes,7.761
JOURNAL OF INFECTIOUS DISEASES,7.759
Environmental Technology & Innovation,7.758
European Journal of Internal Medicine,7.749
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,7.748
Annual Review of Vision Science,7.745
BIODRUGS,7.744
PHYTOCHEMISTRY REVIEWS,7.741
ACTA PSYCHIATRICA SCANDINAVICA,7.734
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,7.73
EuroIntervention,7.728
OncoImmunology,7.723
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,7.722
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,7.721
CORROSION SCIENCE,7.72
Circulation-Arrhythmia and Electrophysiology,7.718
BIOLOGICAL PROCEDURES ONLINE,7.717
Current Neuropharmacology,7.708
Journal of Occupational Health Psychology,7.707
Gastric Cancer,7.701
IEEE Journal of Selected Topics in Signal Processing,7.695
CONSTRUCTION AND BUILDING MATERIALS,7.693
Tourism Review,7.689
COMPOSITES COMMUNICATIONS,7.685
Antioxidants,7.675
International Journal of Applied Earth Observation and Geoinformation,7.672
International Journal of Mining Science and Technology,7.67
Biotechnology for Biofuels,7.67
Cells,7.666
Current Opinion in Electrochemistry,7.664
Journal of Global Health,7.664
GigaScience,7.658
Stem Cells Translational Medicine,7.655
Alcohol Research-Current Reviews,7.654
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,7.649
MEDICAL EDUCATION,7.647
CLINICAL NUTRITION,7.643
Blood Advances,7.637
BIOLOGICAL RESEARCH,7.634
Advanced Electronic Materials,7.633
Sustainable Energy Technologies and Assessments,7.632
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,7.632
Journal of Hospitality and Tourism Management,7.629
Computers and Concrete,7.628
OBSTETRICS AND GYNECOLOGY,7.623
EXPERT REVIEWS IN MOLECULAR MEDICINE,7.615
Materials Today Chemistry,7.613
BRAIN PATHOLOGY,7.611
International Journal of Educational Technology in Higher Education,7.611
Tourism Management Perspectives,7.608
PROGRESS IN HUMAN GEOGRAPHY,7.602
JOURNAL OF UROLOGY,7.6
Qualitative Research in Sport Exercise and Health,7.591
Biomaterials Science,7.59
JOURNAL OF INVESTIGATIVE DERMATOLOGY,7.59
GENERAL HOSPITAL PSYCHIATRY,7.587
Learning Media and Technology,7.586
CURRENT OPINION IN MICROBIOLOGY,7.584
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,7.582
GeroScience,7.581
Current Issues in Tourism,7.578
Acta Neuropathologica Communications,7.578
ENERGY POLICY,7.576
Family Business Review,7.575
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,7.574
Journal of Materials Chemistry B,7.571
CONSERVATION BIOLOGY,7.563
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,7.558
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,7.538
Journal of Infection and Public Health,7.537
Journal of Physics-Energy,7.528
Cell Communication and Signaling,7.525
Acta Physiologica,7.523
Applied Psychology-Health and Well Being,7.521
Journal of Intensive Care,7.52
npj Breast Cancer,7.519
LAB ON A CHIP,7.517
Circulation-Cardiovascular Interventions,7.514
PRX Quantum,7.514
JOURNAL OF ABNORMAL PSYCHOLOGY,7.507
OSTEOARTHRITIS AND CARTILAGE,7.507
Reviews of Physiology Biochemistry and Pharmacology,7.5
People and Nature,7.5
MODERN LANGUAGE JOURNAL,7.5
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,7.499
BIOLOGICAL CONSERVATION,7.497
Child and Adolescent Psychiatry and Mental Health,7.494
Progress of Theoretical and Experimental Physics,7.492
FERTILITY AND STERILITY,7.49
Geoscience Frontiers,7.483
International Soil and Water Conservation Research,7.481
ALLERGOLOGY INTERNATIONAL,7.478
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,7.478
JOURNAL OF CLINICAL PERIODONTOLOGY,7.478
ANTIOXIDANTS & REDOX SIGNALING,7.468
INFORMATION PROCESSING & MANAGEMENT,7.466
Circulation-Genomic and Precision Medicine,7.465
PLoS Pathogens,7.464
RUSSIAN CHEMICAL REVIEWS,7.46
INFECTION,7.455
BRITISH JOURNAL OF MANAGEMENT,7.45
Molecular Oncology,7.449
SCIENCE COMMUNICATION,7.441
QUARTERLY REVIEWS OF BIOPHYSICS,7.44
Journal of Computer-Mediated Communication,7.432
Wiley Interdisciplinary Reviews-Water,7.428
FOOD RESEARCH INTERNATIONAL,7.425
International Review of Sport and Exercise Psychology,7.423
International Journal of Bioprinting,7.422
GEODERMA,7.422
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,7.422
BIOMEDICINE & PHARMACOTHERAPY,7.419
BMJ Quality & Safety,7.418
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,7.41
JOURNAL OF CLINICAL EPIDEMIOLOGY,7.407
ACM TRANSACTIONS ON GRAPHICS,7.403
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,7.401
FISH AND FISHERIES,7.401
Journal of Organizational and End User Computing,7.4
NEUROIMAGE,7.4
Global Strategy Journal,7.393
APPLIED SURFACE SCIENCE,7.392
CRITICAL REVIEWS IN MICROBIOLOGY,7.391
Journal of Science-Advanced Materials and Devices,7.382
MOLECULAR & CELLULAR PROTEOMICS,7.381
Tissue Engineering Part B-Reviews,7.376
SOIL & TILLAGE RESEARCH,7.366
HEART,7.365
BMC BIOLOGY,7.364
WORK AND STRESS,7.358
SCHIZOPHRENIA BULLETIN,7.348
Emotion Review,7.345
Journal of Water Process Engineering,7.34
Diabetes Technology & Therapeutics,7.337
ELECTROCHIMICA ACTA,7.336
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,7.331
IEEE TRANSACTIONS ON POWER SYSTEMS,7.326
mSystems,7.324
INTERNATIONAL JOURNAL OF CANCER,7.316
Oxidative Medicine and Cellular Longevity,7.31
Future Generation Computer Systems-The International Journal of eScience,7.307
SOLAR ENERGY MATERIALS AND SOLAR CELLS,7.305
Review of Research in Education,7.3
Advanced Intelligent Systems,7.298
JOURNAL OF EXPERIMENTAL BOTANY,7.298
Stem Cell Reports,7.294
JOURNAL OF ACCOUNTING & ECONOMICS,7.293
Horticulture Research,7.291
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,7.29
INFLAMMATORY BOWEL DISEASES,7.29
Communications Earth & Environment,7.29
Wiley Interdisciplinary Reviews-Systems Biology and Medicine,7.288
Journal of Neuroimmune Pharmacology,7.285
NUKLEONIKA,1.154
World Englishes,1.154
Journal of Legal Analysis,1.154
OXFORD ECONOMIC PAPERS-NEW SERIES,1.152
Journal of Applied Fluid Mechanics,1.152
JOURNAL OF MATHEMATICAL SOCIOLOGY,1.152
TURKISH JOURNAL OF CHEMISTRY,1.151
OPERATIONS RESEARCH LETTERS,1.151
JOURNAL OF AUTOMATED REASONING,1.15
Grundwasser,1.15
IET Software,1.15
RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING,1.15
Journal of Media Ethics,1.15
Human Rights Law Review,1.15
International Journal of Nursing Knowledge,1.15
Quality Management in Health Care,1.147
ETHOS,1.146
JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION,1.146
Journal of the International Phonetic Association,1.146
IMA JOURNAL OF APPLIED MATHEMATICS,1.146
Hellenic Journal of Nuclear Medicine,1.146
ACTA CHIROPTEROLOGICA,1.145
QUIMICA NOVA,1.145
Journal of Mathematical Inequalities,1.145
Journal of African Cultural Studies,1.145
Economia Politica,1.143
Undersea and Hyperbaric Medicine,1.143
FLY,1.143
Clinical Nurse Specialist,1.143
Austrian Journal of Forest Science,1.143
Advances in Physical Organic Chemistry,1.143
Bangladesh Journal of Pharmacology,1.143
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,1.142
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,1.142
GEOTECTONICS,1.142
Mathematical Control and Related Fields,1.141
Revista de Nutricao-Brazilian Journal of Nutrition,1.141
Brain Impairment,1.14
Journal of Internet Technology,1.14
ETHOLOGY ECOLOGY & EVOLUTION,1.14
Erdkunde,1.139
ANNALS OF GEOPHYSICS,1.139
Journal of Official Statistics,1.139
ZOOMORPHOLOGY,1.138
Journal of Food and Nutrition Research,1.138
JOURNAL OF MODERN AFRICAN STUDIES,1.137
Asia-Pacific Journal of Accounting & Economics,1.137
CLINICAL NEUROPATHOLOGY,1.136
ARMED FORCES & SOCIETY,1.135
ELECTRONIC JOURNAL OF PROBABILITY,1.134
Russian Geology and Geophysics,1.134
Global NEST Journal,1.134
ATOMIZATION AND SPRAYS,1.134
TEACHERS COLLEGE RECORD,1.134
PLASMA PHYSICS REPORTS,1.133
Geochronometria,1.133
ORGANIZATIONAL DYNAMICS,1.133
Revista Brasileira de Fruticultura,1.132
MIDDLE EAST JOURNAL,1.132
JOURNAL D ANALYSE MATHEMATIQUE,1.132
British Journal of Religious Education,1.131
Hypatia-A Journal of Feminist Philosophy,1.131
ACSMS HEALTH & FITNESS JOURNAL,1.13
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,1.13
EUROPEAN JOURNAL OF ENTOMOLOGY,1.13
ANATOMIA HISTOLOGIA EMBRYOLOGIA,1.13
Electronic Journal of Differential Equations,1.129
